plot_id,department,stratum,gps_lat,gps_lon,field_date,treecover_2000,loss_year,loss_pixel_count,biomass_mg_per_ha,photo_file,notes,verified_by
PY-001,Alto Paraguay,forest_with_loss,,,,,,,,,,
PY-002,Alto Paraguay,forest_with_loss,,,,,,,,,,
PY-003,Alto Paraguay,forest_with_loss,,,,,,,,,,
PY-004,Alto Paraguay,forest_with_loss,,,,,,,,,,
PY-005,Alto Paraguay,forest_with_loss,,,,,,,,,,
PY-006,Alto Paraguay,forest_with_loss,,,,,,,,,,
PY-007,Alto Paraguay,forest_no_loss,,,,,,,,,,
PY-008,Alto Paraguay,forest_no_loss,,,,,,,,,,
PY-009,Alto Paraguay,nonforest_with_loss,,,,,,,,,,
PY-010,Alto Paraguay,nonforest_with_loss,,,,,,,,,,
PY-011,Alto Paraguay,nonforest_with_loss,,,,,,,,,,
PY-012,Alto Paraguay,nonforest_with_loss,,,,,,,,,,
PY-013,Alto Paraguay,nonforest_no_loss,,,,,,,,,,
PY-014,Alto Paraguay,nonforest_no_loss,,,,,,,,,,
PY-015,Boquerón,forest_with_loss,,,,,,,,,,
PY-016,Boquerón,forest_with_loss,,,,,,,,,,
PY-017,Boquerón,forest_with_loss,,,,,,,,,,
PY-018,Boquerón,forest_with_loss,,,,,,,,,,
PY-019,Boquerón,forest_no_loss,,,,,,,,,,
PY-020,Boquerón,forest_no_loss,,,,,,,,,,
PY-021,Boquerón,nonforest_with_loss,,,,,,,,,,
PY-022,Boquerón,nonforest_with_loss,,,,,,,,,,
PY-023,Boquerón,nonforest_with_loss,,,,,,,,,,
PY-024,Boquerón,nonforest_no_loss,,,,,,,,,,
PY-025,Boquerón,nonforest_no_loss,,,,,,,,,,
PY-026,Presidente Hayes,forest_with_loss,,,,,,,,,,
PY-027,Presidente Hayes,forest_with_loss,,,,,,,,,,
PY-028,Presidente Hayes,forest_with_loss,,,,,,,,,,
PY-029,Presidente Hayes,forest_with_loss,,,,,,,,,,
PY-030,Presidente Hayes,forest_no_loss,,,,,,,,,,
PY-031,Presidente Hayes,forest_no_loss,,,,,,,,,,
PY-032,Presidente Hayes,nonforest_with_loss,,,,,,,,,,
PY-033,Presidente Hayes,nonforest_with_loss,,,,,,,,,,
PY-034,Presidente Hayes,nonforest_with_loss,,,,,,,,,,
PY-035,Presidente Hayes,nonforest_no_loss,,,,,,,,,,
PY-036,Presidente Hayes,nonforest_no_loss,,,,,,,,,,
PY-037,San Pedro,forest_with_loss,,,,,,,,,,
PY-038,San Pedro,forest_with_loss,,,,,,,,,,
PY-039,San Pedro,forest_with_loss,,,,,,,,,,
PY-040,San Pedro,forest_with_loss,,,,,,,,,,
PY-041,San Pedro,forest_no_loss,,,,,,,,,,
PY-042,San Pedro,forest_no_loss,,,,,,,,,,
PY-043,San Pedro,nonforest_with_loss,,,,,,,,,,
PY-044,San Pedro,nonforest_with_loss,,,,,,,,,,
PY-045,San Pedro,nonforest_with_loss,,,,,,,,,,
PY-046,San Pedro,nonforest_no_loss,,,,,,,,,,
PY-047,San Pedro,nonforest_no_loss,,,,,,,,,,
PY-048,Canindeyu,forest_with_loss,,,,,,,,,,
PY-049,Canindeyu,forest_with_loss,,,,,,,,,,
PY-050,Canindeyu,forest_with_loss,,,,,,,,,,
PY-051,Canindeyu,forest_no_loss,,,,,,,,,,
PY-052,Canindeyu,forest_no_loss,,,,,,,,,,
PY-053,Canindeyu,nonforest_with_loss,,,,,,,,,,
PY-054,Canindeyu,nonforest_with_loss,,,,,,,,,,
PY-055,Canindeyu,nonforest_no_loss,,,,,,,,,,
PY-056,Canindeyu,nonforest_no_loss,,,,,,,,,,
PY-057,Caaguazú,forest_with_loss,,,,,,,,,,
PY-058,Caaguazú,forest_with_loss,,,,,,,,,,
PY-059,Caaguazú,forest_no_loss,,,,,,,,,,
PY-060,Caaguazú,forest_no_loss,,,,,,,,,,
PY-061,Caaguazú,nonforest_with_loss,,,,,,,,,,
PY-062,Caaguazú,nonforest_with_loss,,,,,,,,,,
PY-063,Caaguazú,nonforest_no_loss,,,,,,,,,,
PY-064,Caaguazú,nonforest_no_loss,,,,,,,,,,
