image_id,species,camera_id,datetime,bbox_x,bbox_y,bbox_w,bbox_h
GUYRA-SYN-000000,capybara,CAM-008,2024-01-24,563,501,214,171
GUYRA-SYN-000001,capybara,CAM-007,2024-11-24,1827,178,402,316
GUYRA-SYN-000002,jaguar,CAM-002,2024-02-07,476,1034,408,113
GUYRA-SYN-000003,anteater,CAM-013,2024-12-21,1436,859,212,329
GUYRA-SYN-000004,anteater,CAM-018,2024-01-25,1650,326,457,316
GUYRA-SYN-000005,tapir,CAM-018,2024-03-07,1563,689,152,147
GUYRA-SYN-000006,brocket_deer,CAM-007,2024-06-28,704,541,122,473
GUYRA-SYN-000007,brocket_deer,CAM-035,2024-02-13,161,600,421,416
GUYRA-SYN-000008,tapir,CAM-037,2024-04-23,142,93,438,216
GUYRA-SYN-000009,tapir,CAM-006,2024-04-28,206,778,242,332
GUYRA-SYN-000010,capybara,CAM-024,2024-03-12,727,429,443,236
GUYRA-SYN-000011,capybara,CAM-044,2024-11-03,1247,350,373,473
GUYRA-SYN-000012,puma,CAM-011,2024-08-13,552,449,450,266
GUYRA-SYN-000013,jaguar,CAM-015,2024-01-26,646,821,237,133
GUYRA-SYN-000014,puma,CAM-037,2024-12-11,435,1022,302,429
GUYRA-SYN-000015,brocket_deer,CAM-010,2024-05-05,505,538,482,399
GUYRA-SYN-000016,brocket_deer,CAM-038,2024-07-12,449,283,360,352
GUYRA-SYN-000017,jaguar,CAM-049,2024-01-28,224,313,421,181
GUYRA-SYN-000018,capybara,CAM-028,2024-10-03,788,781,405,339
GUYRA-SYN-000019,anteater,CAM-017,2024-09-28,23,234,449,374
GUYRA-SYN-000020,tapir,CAM-050,2024-11-11,228,601,322,180
GUYRA-SYN-000021,brocket_deer,CAM-001,2024-12-24,539,1025,490,191
GUYRA-SYN-000022,anteater,CAM-007,2024-11-10,1723,1039,411,201
GUYRA-SYN-000023,puma,CAM-024,2024-03-18,1594,1,406,265
GUYRA-SYN-000024,brocket_deer,CAM-002,2024-02-12,1799,629,222,129
GUYRA-SYN-000025,puma,CAM-037,2024-02-03,1498,995,135,489
GUYRA-SYN-000026,anteater,CAM-050,2024-03-05,1351,973,381,184
GUYRA-SYN-000027,tapir,CAM-034,2024-10-14,433,411,465,259
GUYRA-SYN-000028,brocket_deer,CAM-043,2024-11-12,897,1059,331,161
GUYRA-SYN-000029,puma,CAM-015,2024-02-11,43,471,401,212
GUYRA-SYN-000030,jaguar,CAM-005,2024-12-21,120,468,134,116
GUYRA-SYN-000031,tapir,CAM-005,2024-09-08,570,994,209,376
GUYRA-SYN-000032,puma,CAM-047,2024-10-19,968,497,342,308
GUYRA-SYN-000033,puma,CAM-007,2024-02-22,882,725,316,310
GUYRA-SYN-000034,brocket_deer,CAM-047,2024-01-22,1338,201,131,306
GUYRA-SYN-000035,capybara,CAM-022,2024-02-08,392,389,374,329
GUYRA-SYN-000036,puma,CAM-028,2024-03-09,947,511,138,326
GUYRA-SYN-000037,anteater,CAM-007,2024-01-21,1107,30,147,485
GUYRA-SYN-000038,puma,CAM-011,2024-07-16,985,437,305,130
GUYRA-SYN-000039,puma,CAM-025,2024-01-13,543,931,246,316
