departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,4,5,49.99999999999999,64.75716420325303,63,98,128,144,144.03844382708206,155.118324121473,150,179,0,0,2,2,1.961,
SAN PEDRO,2361,3508,4411.15421923599,5008.22004608381,6798,8599,10804,11600.3846153846,11603.8977769125,12727.2745289827,13226,14198,15000,18565,29940,30044,32280.392,109134.73972194822
CORDILLERA,2907,4320,5544.99745505279,6476.70949813453,7222,9819,11694,11692.3542770628,11696.7232513107,12904,13366,14560,4100,4075,27188,27282,29324.353,13757.476629243683
GUAIRA,12,17,37.51968458991651,48.59336751686972,47,73,98,114.33333333333334,114.03043469643995,230,223,267,2688,3611,5450,5470,5879.28,
CAAGUAZU,414,616,903.5095169202652,1170.1742829281488,1135,1770,2305,2536.063569682152,2536.677038510278,2731.8060414726074,2645,3161,0,0,5,5,4.902,4669.153460972017
CAAZAPA,28011,41622,51135.5122281571,69179.248080175,73804,89744,92935,102989.474870408,103033.848194914,101493,98264,117442,74580,74130,30208,30313,32581.5,41000
ITAPUA,69809,103730,105594.457335043,110138.534353602,112065,115792,115100,116811.148683267,117903.855457925,111147,111247,116042,115600,122492,309373,310446,333722.662,178371.59933650403
MISIONES,39948,59360,63714.840227674,79506.151915013,85321,94978,101729,105816.632619565,115894.906682553,117302,114660,119734,144000,144718,241954,242793,260967.798,380507.2367306438
PARAGUARI,105,155,190.39992596517197,246.59518540027727,239,373,500,600,602.98916237551,833.98832871209,853,922,112500,113580,91576,91894,98793.576,144804.67370850977
ALTO PARANA,579,860,1428.0034846959197,1849.469122825424,1794,2797,3142,3743.166666666667,3743.999272533112,4894,4738,5663,0,0,2,2,1.961,
CENTRAL,405,601,892.6287712194265,1156.082158208088,1121,1748,2076,2107.61111111111,2308.6161691173984,2487,2408,2878,3000,6916,35600,35723,38398.968,85500
ÑEEMBUCU,,,,,,,,,,20853,28917,30416,31300,33821,139070,139552,150006.311,422266.67058641743
AMAMBAY,92,137,205.61423769225638,266.29989905528294,258,402,523,546.9281045751634,547.1460331487075,952,922,1102,0,0,,0,0,
CANINDEYU,46,68,104.12495951220345,134.85674201577666,131,204,266,269.16666666666663,269.07181520475746,290,281,336,0,0,,0,0,
PTE. HAYES,,,,,,,,,0,0,0,0,21000,23692,64700,64924,69787.85,64770
ALTO PARAGUAY,,,,,,,,,0,0,0,0,,0,,,0,
BOQUERON,,,,,,,,,0,0,0,0,,0,,,0,
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
