departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,2000,1666.6666666666667,2500,2449.8747539327005,2333.3333333333335,2969.6969696969695,3200,3200,3151.610394848975,3102.36648242946,2941.1764705882356,2983.3333333333335,0,0,2000,2000,1961,0
SAN PEDRO,4898.340248962656,2698.4615384615386,2853.1879044293482,2451.0241518251446,3268.269230769231,3374.8037676609106,3462.820512820513,3515.268065268061,3462.235234137063,3525.560811352548,3611.6876024030585,3398.2766874102444,1250,1564.4223476868628,3386.877828054299,4110.548638664661,4027.9999999999995,6594.663303593666
CORDILLERA,3886.363636363636,3927.272727272727,4236.05776253741,3743.699625787057,4101.078932424759,4552.1557719054235,4426.192278576836,4175.840813236714,4113.133451010355,4213.551020408163,4303.28396651642,4109.511713237369,5000,5024.660912453761,7167.9409438439225,8699.617346938776,8527,6619.63468625304
GUAIRA,1333.3333333333333,1700,2500.0000000000005,2449.8747539327014,2350,3041.6666666666665,3266.6666666666665,3266.666666666667,3207.8891518998494,5974.0259740259735,5717.948717948718,6068.181818181818,1292.3076923076924,1755.4691298006805,3633.3333333333335,4411.290322580645,4322.999999999999,0
CAAGUAZU,3600,3623.529411764706,4454.956925804119,4365.634600954059,4157.509157509158,5299.4011976047905,5635.696821515892,5635.696821515892,5550.336084261805,5550.336084261805,5300.60120240481,5555.360281195079,0,0,5000,5000,4902,5999.631811487491
CAAZAPA,4476.746044430239,4504.545454545455,4650.54495540168,4760.396522937789,4990.128465179176,4953.306104426537,4189.091728645481,4309.1830489710455,4244.715986143867,6336.5798838733845,6048.50424719931,6336.570626955865,6600,6634.150706998389,4265.461733973454,5177.284372331341,5075,4799.812690236478
ITAPUA,4920.978429437474,5094.793713163065,4366.265469799719,3445.8340914632076,3444.9738702735935,2905.7692790283318,2358.848242647812,2292.6623882878703,2278.507359947822,2677.5312567753126,2642.1955158654764,2415.8304534288213,4281.481481481482,4587.715355805243,7018.125311918697,8518.205515159829,8351,5592.739337555446
MISIONES,3452.7225583405357,3475.4098360655735,3135.0244078987625,2959.968695090153,3121.081318359732,2836.1801242236024,2568.784404828039,2451.44521300973,2643.6211773011937,1851.2404519916672,1784.0638566027167,1633.0110063965303,1800,1829.3031310437234,4130.176504728415,5012.966365907542,4914.000000000001,6759.994860470161
PARAGUARI,3620.6896551724135,3875,4000,3919.799606292322,3734.375,4782.051282051282,333.3333333333333,365.8536585365854,362.0197597751655,464.94122855029406,468.93897746014295,444.33734939759034,4500,4594.28848798641,2482.2052963976907,3012.819251827809,2954,6794.79681314887
ALTO PARANA,2880.597014925373,2895.6228956228956,4000,3919.799606292321,3737.5,4756.802721088436,4363.888888888889,5058.333333333334,4981.620653682311,6045.707226683137,5771.010962241169,6043.75667022412,0,0,2000,2000,1961,0
CENTRAL,1995.0738916256157,2003.3333333333335,2500,2449.874753932701,2335.4166666666665,2972.7891156462583,2883.3333333333335,2887.1385083713835,3113.8342428559217,3116.5413533834585,2976.5142150803463,3118.093174431203,1071.4285714285713,2534.261634298278,6913.96387648087,8391.59032182288,8226,7430.90561446202
ÑEEMBUCU,0,0,0,0,0,0,0,0,0,2547.7092241905925,3483.1365935919052,3211.487699292577,2407.6923076923076,2630.756067205974,5053.415697674419,6133.614627285513,6013,7559.167555551464
AMAMBAY,2139.53488372093,2140.625,2700,2645.8647342473173,2529.4117647058824,3216,3418.300653594771,3418.300653594771,3367.0525116843537,5409.090909090909,5150.8379888268155,5401.9607843137255,0,0,0,0,0,0
CANINDEYU,2000,1942.857142857143,2500,2449.8747539327005,2339.285714285714,2956.5217391304345,3166.6666666666665,3166.666666666666,3116.849986082258,3119.327731092437,2989.3617021276596,3140.1869158878503,0,0,0,0,0,0
PTE. HAYES,0,0,0,0,0,0,0,0,0,0,0,0,3500,3993.2580482049552,5260.162601626016,6384.501917592684,6259,5100
ALTO PARAGUAY,,,,,,,,,,,,,,,,,,
BOQUERON,,,,,,,,,,,,,,,,,,
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
