departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,2,3,19.999999999999996,26.432846862600037,27,33,40,45,45.703125,50,51,60,0,0,1,1,1,
SAN PEDRO,482,1300,1546.0440626388547,2043.3172975282437,2080,2548,3120,3300,3351.5625,3610,3662,4178,12000,11867,8840,7309,8014,16548.947944389645
CORDILLERA,748,1100,1308.9994910105574,1730.029154455173,1761,2157,2642,2800,2843.75,3062.5,3106,3543,820,811,3793,3136,3439,2078.2833617410583
GUAIRA,9,10,15.0078738359666,19.835041541966348,20,24,30,35,35.546875,38.5,39,44,2080,2057,1500,1240,1360,
CAAGUAZU,115,170,202.8099332873307,268.0421954399071,273,334,409,450.00000000000006,457.03125,492.1875,499,569,0,0,1,1,1,778.2399999999985
CAAZAPA,6257,9240,10995.595724488678,14532.244897423448,14790,18118,22185,23900,24273.4375,16017,16246,18534,11300,11174,7082,5855,6420,8542
ITAPUA,14186,20360,24184.15876574876,31962.80825779217,32530,39849,48795,50950.00000000001,51746.09375,41511,42104,48034,27000,26700,44082,36445,39962,31893.422627214597
MISIONES,11570,17080,20323.554759938415,26860.470533655916,27337,33488,39602,43165,43839.453125,63364,64269,73321,80000,79111,58582,48433,53107,56288.095565826996
PARAGUARI,29,40,47.59998149129299,62.9101510710972,64,78,1500,1640,1665.625,1793.75,1819,2075,25000,24722,36893,30501,33444,21311.11167714283
ALTO PARANA,201,297,357.00087117397993,471.8274678778308,480,588,720,740,751.5625,809.5,821,937,0,0,1,1,1,
CENTRAL,203,300,357.0515084877706,471.89439229587896,480,588,720,730,741.40625,798,809,923,2800,2729,5149,4257,4668,11506
ÑEEMBUCU,0,,,,,,,,,8185,8302,9471,13000,12856,27520,22752,24947,55861.53071528414
AMAMBAY,43,64,76.15342136750236,100.64758625351219,102,125,153,160,162.5,176,179,204,0,0,,0,0,
CANINDEYU,23,35,41.64998380488138,55.046382187210064,56,69,84,85,86.328125,92.96875,94,107,0,0,,0,0,
PTE. HAYES,0,,,,,,,,0,0,0,0,6000,5933,12300,10169,11150,12700
ALTO PARAGUAY,0,,,,,,,,0,0,0,0,0,0,,0,0,
BOQUERON,0,,,,,,,,0,0,0,0,0,0,,0,0,
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
