departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,33916.05250000003,15523,29596.386979348033,31853.191443733835,29317,39222,30464,27210,28118.325968870897,28137.86349894833,29168,30435,37230,25550,66835,64910,56975,35756.74803174823
SAN PEDRO,373863.4629999967,294871,262465.229975578,297729.45315121,358107,402887,276030,309600,326611.499953569,326977.406801326,446269,470007,466585,396953,537735,522256,458415,424585.2544737189
CORDILLERA,5245.4808604203645,4174,4588.6700436947,5167.32663597779,7517,9057,5812,7900,8497.5389504884,8510.3916439241,9188,10022,19620,13746,8375,8134,7140,6564.158283692761
GUAIRA,15978.815100000003,12341,14193.7523827304,16801.1183793062,23872,26316,15196,21600,22321.052588298837,22336.561983729654,23154,24160,23760,19646,19061,18512,16249,52775.309059202686
CAAGUAZU,244274.3269999998,194324,154704.947313572,281752.157812461,351362,370076,265110,300800,327532.357069894,328107.35354494,458423,495725,492000,330014,634473,616209,540883,636262.6855758508
CAAZAPA,74049.42149999908,58492,125940.86952840278,135544.2010701432,124754,166904,79634,108000,118281.675796113,118502.828286515,130163,144510,221300,125105,207265,201299,176692,252903.7082933674
ITAPUA,291386.11500000034,225533,231378.818994902,256647.34919193,328256,339163,241095,342750,354191.7025296031,354437.8064779324,377413,383379,415000,397934,763582,741601,650947,872079.7530369823
MISIONES,28160.14300000003,16923,29645.4197640542,31905.963110740173,29366,32288,30515,21749.999999999993,22476.059897939802,22491.676997505558,23315,24328,22000,15713,26206,25452,22341,34915.591214476764
PARAGUARI,11084.565900000034,8028,29448.61241853418,31694.14867343211,29171,33027,10310,21300,22011.03796901691,22026.331956177855,22833,23826,21000,14713,10029,9740,8549,9022.533460683742
ALTO PARANA,694159.8708799972,494836.99999999994,534354.097319066,557975.85131972,726492,905738,558826,712367.4,762852.93239851,763938.85359478,821192,891640,970000,795535,1356665,1317611,1156545,1650907.809291738
CENTRAL,1233.076999999999,988,1528.9779055573858,1645.5666015227732,1515,2027,1574,1285.5,1328.9293346551995,1329.8527181053862,1379,1489,1520,1065,969,941,826,818.6435768961901
ÑEEMBUCU,4086.8700000000044,3277,5967.056806399951,6422.061008410277,5911,7908,4142,5958,5824.531624401,6843.1701839655,7826,9035,9600,8000,2192,2129,1869,841.7194275843885
AMAMBAY,87053.605,68973,77730.506650708,80945.248826147,96715,102771,90890,92060,99806.641835214,99973.267312236,248758,259568,250000,175152,219697,213373,187290,125589.43376180864
CANINDEYU,606593.5719499998,459074,453491.021930716,480946.747974386,546390,598572,575590,541500,579605.62636774,580425.2548346,623639,776812,824000,557542,606918,589447,517393,782621.0429148746
PTE. HAYES,576.04976,452,705.549076640231,759.3490998361713,699,935,736,664,719.54775495043,1020.74255282065,1084,1117,1804,1264,12431,12073,10597,12054.08183864488
ALTO PARAGUAY,22.175999999999995,14,31.338,33.727607162329384,31,41,35,103,106.43835262012873,106.5123094594516,110,112,135,95,14398,13984,12275,13962.805942187968
BOQUERON,27.679999999999996,18,49.61452762176299,53.397769390878885,49,66,51,32.6,34.10160812101211,34.125303030698085,35,35,39,66,137847,133879,117514,133672.11221916715
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
