departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,2332.361116555304,1900,3450,3453.9982449446734,2727.162790697674,3524.622573687994,3524.702071040148,3727.3972602739723,3811.702293154588,3895.5071879919724,3547.5553393334953,3650.155912688894,3650,3406.6666666666665,2900.069426364662,3937.518956627237,3218.926553672316,2822.8697644008407
SAN PEDRO,3027.61352149831,2499.9975079740184,2185.00996379628,2305.643757852185,2379.0849238986734,2585.625537486041,2280.787281861449,2958.7155963302753,3088.7738611339128,3158.0264703020257,3786.4973103225916,3932.7509601626625,3870.4686851928664,3860.6594047850613,3295.9142394822006,4474.932951750966,3658.335128923364,3201.266786149244
CORDILLERA,1036.042042350457,865.0187403788487,907.010718071874,950.1239526509482,1185.646687697161,1380.0091421605973,1140.278595252109,1975,2102.2557299385367,2150.23193131061,2039.5116537180909,2193.4777850733203,4360,3436.5,3305.0513022888713,4486.486486486487,3667.180277349769,3576.3980678376365
GUAIRA,1661.2274345336375,1400.0379514706565,1535.8619676565875,1691.1491683825627,2061.30731370348,2195.195195195195,1632.048115132639,4500,4601.779504966124,4702.955204907618,4283.018867924528,4407.150674936154,4400,3446.666666666667,2470.641607258587,3354.230838920094,2741.98447519406,3066.227660136461
CAAGUAZU,2722.3325386139913,2268.266225739755,1731.5198039567347,2933.4539469503648,3138.309559749551,3193.145637937134,2945.110368041592,2032.4324324324325,2190.003795160468,2240.526062878759,2750.070488017037,2932.7287140896397,3075,2200.0933333333332,4395.988360008315,5968.472744178839,4879.325587269513,3917.411519336423
CAAZAPA,2016.6925575156606,1680.3217466245333,3520,3524.0793687551445,2782.575723781059,3596.216414212148,2209.1713596138375,1888.1118881118884,2046.3212413736046,2093.7674243451356,2020.3802871556072,2212.0344716741415,3512.6984126984125,1924.6923076923076,3186.4372905328537,4326.312622235595,3536.810921173786,4349.833568859732
ITAPUA,3469.8794987035526,2900,2876.709915106738,2968.233183836542,3256.8633481828374,3250.7428067552282,2975.159188508811,4820.675105485232,4929.70753344941,5038.093128557856,4712.890698168105,4721.183685532733,3192.3076923076924,2744.3724137931035,3881.90317382043,5270.496347044945,4308.767168624855,4496.68423444337
MISIONES,2234.352116553888,1861.7161716171618,3150,3153.6505714712234,2490.1212583736115,2644.8230668414158,3218.202910778317,4531.249999999998,4633.736307083944,4735.614616052811,4312.800591934887,4436.9870508845515,4400,2123.3783783783783,2662.3996748958652,3614.8274392841927,2955.15873015873,2383.9082575998104
PARAGUARI,951.0893466957273,799.9951591224162,2800,2803.2449524188655,2213.44563320434,2420.8018764201424,973.0086825217063,4260,4356.351264701264,4452.130927312545,4054.154829545454,4171.948870600596,4200,2373.064516129032,2043.814958222947,2774.928774928775,2268.2409127089413,2348.699020803776
ALTO PARANA,3074.2868992775147,2569.9976176886876,2721.8718298420176,2643.8858066015414,2953.1474842077023,3556.669899748291,2825.3072656767426,2614.1922935779817,2770.2992575633966,2833.2692208278,2675.5810127035948,2864.946148111971,3233.3333333333335,3595.9634769244676,4182.151951022523,5678.158492387384,4641.999935781143,4851.739243467457
CENTRAL,1502.6163144939205,1250.632911392405,1849.9999999999998,1852.1439864196072,1462.3552123552124,1890.858208955224,1889.5558223289315,3726.086956521739,3811.84440797838,3895.6524273824134,3544.9871465295632,3769.620253164557,3800,2662.5,4750,6445.2054794520545,5261.146496815287,3652.325042005095
ÑEEMBUCU,883.0156147708351,771.0302664254402,1349.9999999999998,1351.5645306305241,1067.1601372088824,1379.1419602371818,929.9506061966771,1218.4049079754602,1178.7033578691526,1414.308766211379,1420.8424110384894,1617.436448263516,1745.4545454545453,1600,1221.1699164345405,1658.0996884735202,1355.3299492385786,1351.6651660043547
AMAMBAY,2817.3417111122585,2350.0170357751276,2597.4984490682286,2516.192848931659,2579.1354436118295,2647.5088876294503,3014.5936981757877,2000,2145.7090879013076,2195.0209148202193,4798.202299205308,4937.475033763862,5000,3503.04,3588.178611092964,4871.752134800677,3982.775119617225,3536.561575186985
CANINDEYU,2913.495742269403,2420,2341.2091504292584,2309.7090432815207,2251.0752953972415,2382.2623397091484,2949.414308699796,2472.6027397260273,2619.0322728755373,2678.5387743751585,2528.303799110527,3105.7448195073584,3433.333333333333,2541.6757840991977,3321.3376894157045,4509.44045779335,3686.553232724837,3646.7419045404304
PTE. HAYES,1790.9210632675265,1506.6666666666665,2239.9999999999995,2242.5959619350915,1769.620253164557,2286.0635696821514,2314.4654088050315,1819.178082191781,1950.828673524282,2826.3055236946,2637.4695863746956,2691.5662650602408,4400,3950,3314.0495867768595,4499.813641446142,3678.2367233599443,3770.6736390683404
ALTO PARAGUAY,1231.9999999999998,1000,1800,1802.086040840699,1409.0909090909092,1782.6086956521738,1944.4444444444443,4681.818181818182,4787.70999001526,4892.973597025098,4400,4480,4500,4750,1975.3052544930717,2682.0099731492137,2192.7474097892105,2247.852837398377
BOQUERON,1032.0656226696497,1000,1850,1852.143986419608,1441.1764705882354,1885.7142857142858,1888.888888888889,4075,4218.2978795522795,4311.042271165316,3888.8888888888887,3888.8888888888887,3900,1320,3604.5970399037706,4893.9537944143885,4000.885196786054,4101.430516598003
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
