departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,14541.509999999962,8170,8578.662892564647,9222.121490754858,10750,11128,8643,7300,7376.8421052631575,7223.157894736842,8222,8338,10200,7500,23046,16485,17700,12666.807545525455
SAN PEDRO,123484.53999999925,117948.5175723081,120120.83895469554,129130.7263480109,150523,155818,121024,104640,105741.47368421052,103538.52631578947,117858,119511,120550,102820,163152,116707,125307,132630.387542441
CORDILLERA,5063,4825.328984400881,5059.113362463135,5438.581588813114,6340,6563,5097,4000,4042.1052631578946,3957.8947368421054,4505,4569,4500,4000,2534,1813,1947,1835.4104210948715
GUAIRA,9618.679999999997,8814.761047753394,9241.55469803525,9934.734731516919,11581,11988,9311,4800,4850.526315789473,4749.473684210526,5406,5482,5400,5700,7715,5519,5926,17211.803854399364
CAAGUAZU,89729.7899999998,85670.71968662966,89346.33433591244,96047.92265628446,111959,115897,90017,148000,149557.8947368421,146442.10526315792,166695,169032,160000,150000,144330,103244,110852,162419.1592931315
CAAZAPA,36718.24999999984,34810,35778.656116023514,38462.30089818414,44834,46411,36047,57199.99999999999,57802.10526315789,56597.8947368421,64425,65329,63000,65000,65046,46529,49958,58141.00799255723
ITAPUA,83975.86000000019,77770,80431.75218322867,86464.68565525724,100789,104334,81036,71100,71848.42105263157,70351.57894736841,80081,81204,130000,145000,196703,140708,151075,193938.40162426577
MISIONES,12603.269999999959,9090,9411.244369541017,10117.15229308223,11793,12208,9482,4800,4850.526315789473,4749.473684210526,5406,5483,5000,7400,9843,7041,7560,14646.36531341639
PARAGUARI,11654.600000000011,10035.060723125633,10517.361578047921,11306.235884268282,13179,13643,10596,5000,5052.631578947368,4947.368421052632,5632,5711,5000,6200,4907,3510,3769,3841.502627951041
ALTO PARANA,225795.41000000064,192543.7582487056,196318.61113389782,211043.85443823074,246006,254659,197793,272500,275368.4210526316,269631.5789473684,306921,311224,300000,221230,324394,232049,249148,340271.3390903222
CENTRAL,820.6199999999988,790,826.4745435445329,888.4658069720755,1036,1072,833,345,348.63157894736844,341.3684210526316,389,395,400,400,204,146,157,224.14313279377836
ÑEEMBUCU,4628.31,4250.157409763487,4420.0420788147785,4751.575572506548,5539,5734,4454,4890,4941.473684210527,4838.526315789474,5508,5586,5500,5000,1795,1284,1379,622.727764800352
AMAMBAY,30899.200000000033,29350,29925.140736307807,32169.73168829855,37499,38818,30150,46030,46514.52631578947,45545.47368421052,51844,52571,50000,50000,61228,43798,47025,35511.73395168964
CANINDEYU,208201.29000000088,189700,193699.4914988987,208228.28285379207,242724,251262,195154,219000,221305.26315789475,216694.73684210525,246663,250121,240000,219360,182733,130714,140346,214608.28964628963
PTE. HAYES,321.65000000000003,300,314.977266357246,338.6027232390733,395,409,318,365,368.8421052631579,361.15789473684214,411,415,410,320,3751,2683,2881,3196.7979709915194
ALTO PARAGUAY,18,14,17.41,18.71586949677218,22,23,18,22,22.231578947368423,21.76842105263158,25,25,30,20,7289,5214,5598,6211.619243877309
BOQUERON,26.819999999999993,18,26.818663579331343,28.830247422665273,34,35,27,8,8.08421052631579,7.91578947368421,9,9,10,50,38242,27356,29372,32591.582785131173
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
