departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,14448,18764,12858.381286611797,16145.782566839122,8959,9611,13265,15600,8476,11953.333333333334,7113,9484,9300,9300,4376,6874,5870.624,2487.636809634878
SAN PEDRO,23809,30921,21015.027090896274,26387.773894924845,14643,15709,21678,21070.1,8614,12147.948717948719,7229,9637,19440,18000,9731,15287,13041.196,22921.368815899936
CORDILLERA,25,,146.73523438591917,184.24987846300692,102,109,150,134,76,107.17948717948718,64,85,117,117,,0,0,
GUAIRA,16,,101.1050565793906,126.95379173726097,70,75,105,49.6,38,53.58974358974359,32,42,74.4,74.4,10,16,13.88,
CAAGUAZU,1055,1370,736.6209303756591,924.9470140080158,513,550,760,720,420,592.3076923076923,352,469,544,680,419,658,561.699,697.1872838921681
CAAZAPA,112,146,236.1362279329531,296.507321363127,165,177,250,1240,807,1138.076923076923,677,902,1156,1088,192,302,258.187,560
ITAPUA,1488,1932,717.6574198011995,901.1352517329326,500,536,740,900.0000000000001,481,678.3333333333334,404,539,1750,1750,1366,2146,1838.62,1962.5935276168918
MISIONES,27,35,45.379310532022735,56.981082186914605,32,34,47,30,27,38.07692307692308,23,31,16.5,16.5,48,75,63.936,
PARAGUARI,6,8,38.96043857796942,37.8202510075427,21,23,32,27.5,26,36.666666666666664,22,29,26,26,1,2,1.821,
ALTO PARANA,49,64,139.23226580207645,174.82868487259114,97,104,144,140,79,111.41025641025641,66,88,100.5,100.5,10,16,12.952,
CENTRAL,11,,56.62124470335524,71.09715330933825,39,42,58,51.1,38,53.58974358974359,32,43,24,24,,0,0,
ÑEEMBUCU,18,,38.466697290721434,48.30117544943808,27,29,40,34.5,27,38.07692307692308,23,31,15,15,,0,0,
AMAMBAY,1281,,1134.0277584982082,1423.9557223688973,790,847,1169,1120,665,937.8205128205128,558,744,1050,910,147,231,197.087,2264.460577524293
CANINDEYU,4163,5407,1281.199247551509,1608.7533893012544,893,958,1322,1200,728,1026.6666666666667,611,814,690,690,1593,2502,2136.66,6731.622075441635
PTE. HAYES,1520,1974,301.41791510692826,378.479064400866,210,225,311,207,121,170.64102564102564,102,136,549,600,665,1045,891.565,1260
ALTO PARAGUAY,18,,6.499999999999998,8.16180391179768,5,5,7,5.9,6,8.461538461538462,5,7,5.4,5.4,84,131,112.073,4300
BOQUERON,2005,2604,1281.7881752995154,1609.4928835777846,893,958,1322,1260,821,1157.820512820513,689,919,2480,2480,9098,14293,12199.616,35000
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
