departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,745.8957150232318,818.7808177335603,590,615.2773126532966,334.5906782193009,610.183480413942,701.4806980433633,650,404.5363636363627,570.4999999999986,622.3641613439496,622.3505479362162,620,620,704.3296314179945,840.8562691131498,766,570.1522871643988
SAN PEDRO,713.6562556201667,583.2720276158678,590,615.2773126532965,334.61301158565846,610.2478439903659,701.7805114923924,747.4317133735367,350.01580186397496,493.61202826970833,538.5131108462456,538.4701346594402,720,720,702.2443530345673,838.4248340920309,763,704.0083633517739
CORDILLERA,641.0256410256411,,595,620.4915271673074,336.63366336633663,612.3595505617978,700.9345794392523,670,435.27272727272725,613.8461538461539,673.6842105263157,669.2913385826772,650,650,,,,
GUAIRA,727.2727272727273,,550,573.5635965412087,309.7345132743363,563.9097744360903,656.25,620,544.0909090909092,767.3076923076924,842.1052631578947,823.5294117647059,620,620,625,761.9047619047618,694.0000000000001,
CAAGUAZU,734.1684064022269,243.29603977979045,589,614.2344697504943,333.7670787247886,608.4070796460177,700.4608294930875,720,481.09090909090907,678.4615384615385,739.4957983193277,738.5826771653543,680,680,1151.098901098901,1373.6951983298538,1251,549.9304866846594
CAAZAPA,727.2727272727273,199.7264021887825,620,646.5625997373625,352.5641025641026,643.6363636363636,757.5757575757576,620,462.1909090909091,651.8076923076923,711.1344537815127,710.795902285264,680,680,774.1935483870967,923.5474006116208,841.0000000000001,350
ITAPUA,812.6706717640634,833.4771354616048,590.0000000000001,615.2773126532967,334.67202141900935,609.7838452787258,701.4218009478673,1000,612.1818181818182,863.3333333333334,941.7249417249417,942.3076923076923,700,700,590.3197925669836,704.7619047619048,644,740.0947651681875
MISIONES,574.468085106383,384.61538461538464,574.5,599.1132476598624,329.89690721649487,596.4912280701755,671.4285714285713,600,618.5454545454545,872.3076923076925,958.3333333333334,968.75,550,550,200,237.3417721518987,216,
PARAGUARI,600,8.501594048884165,600,483.72430583097434,262.5,489.36170212765956,571.4285714285714,550,595.6363636363636,840.0000000000001,916.6666666666666,906.25,650,650,1000,2000,1821,
ALTO PARANA,980,93.43065693430657,599.9999999999999,625.7057416813184,340.35087719298247,619.047619047619,712.8712871287129,700,452.45454545454544,638.0769230769232,694.7368421052632,692.9133858267717,670,670,1428.5714285714287,1777.7777777777776,1619,
CENTRAL,647.0588235294118,,610,636.1341707093405,342.10526315789474,626.8656716417911,725,730,621.8181818181819,876.9230769230769,969.6969696969697,977.2727272727273,600,600,,,,
ÑEEMBUCU,620.6896551724138,,592.083333333333,617.449902034134,337.5,617.0212765957447,689.6551724137931,690,618.5454545454545,872.3076923076925,958.3333333333334,968.75,500,500,,,,
AMAMBAY,760.2373887240356,,585.0000000000001,610.0630981392854,331.6540722082284,609.7912167026637,701.2597480503899,700,476.07954545454544,671.3942307692308,732.2834645669292,732.2834645669292,700,700,717.0731707317073,855.5555555555555,778.9999999999999,926.9369155422298
CANINDEYU,833.7672741838575,1074.0961462058006,664.4642857142859,692.9318645226746,376.95230054875475,687.2309899569584,790.1972504482965,800,555.9272727272727,784.0000000000001,855.7422969187675,855.0420168067227,690,690,548.1761871988988,654.2887029288703,596,544.9859341054481
PTE. HAYES,542.0827389443652,400.97501523461307,580.6818181818182,605.5599128771852,329.153605015674,600,691.1111111111111,690,461.99999999999994,651.5384615384615,713.2867132867134,712.0418848167538,610,600,567.8906917164817,678.1310837118754,617,700
ALTO PARAGUAY,1125,,464.2857142857143,484.17706201530586,294.11764705882354,500,583.3333333333334,590.0000000000001,687.2727272727274,969.2307692307693,1000,1000,540,540,446.80851063829783,528.2258064516129,481,1162.162162162162
BOQUERON,502.25450901803606,700.9421265141319,360,375.42344500879113,204.16095107453134,372.3280217644773,428.1088082901555,450,335.8636363636364,473.6538461538462,516.8792198049512,517.1637591446257,620,620,435.14444231872966,519.5376394896587,473,823.5294117647059
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
