departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,19370,22917,21793.866587477623,26241.472316300293,26776,15751,18910,24000,20952.380952381,20952.380952381,11429,15239,15000,15000,6213,8175,7664,4363.1094106574865
SAN PEDRO,33362,53013,35618.68998456996,42887.610760636206,43761,25742,30890,28190,24610.31746031746,24610.31746031746,13424,17897,27000,25000,13857,18233,17092,32558.37573686145
CORDILLERA,39,,246.61383930406586,296.941812089122,303,178,214,200,174.6031746031746,174.60317460317458,95,127,180,180,,0,0,
GUAIRA,22,,183.827375598892,221.34213625627086,226,133,160,80,69.84126984126983,69.84126984126983,38,51,120,120,16,21,20,
CAAGUAZU,1437,5631,1250.6297629467897,1505.853317518528,1537,904,1085,1000,873.015873015873,873.015873015873,476,635,800,1000,364,479,449,1267.77347459907
CAAZAPA,154,731,380.86488376282756,458.59027646135127,468,275,330,2000,1746.031746031746,1746.031746031746,952,1269,1700,1600,248,327,307,1600
ITAPUA,1831,2318,1216.3685081376261,1464.600161912218,1494,879,1055,900.0000000000001,785.7142857142857,785.7142857142857,429,572,2500,2500,2314,3045,2855,2651.8138216676753
MISIONES,47,91,78.98922633946516,95.10903390883581,97,57,70,50,43.65079365079365,43.650793650793645,24,32,30,30,240,316,296,
PARAGUARI,10,941,64.9340642966157,78.18555022281238,80,47,56,50,43.65079365079365,43.650793650793645,24,32,40,40,1,1,1,
ALTO PARANA,50,685,232.05377633679413,279.41038930346605,285,168,202,200,174.6031746031746,174.60317460317458,95,127,150,150,7,9,8,
CENTRAL,17,,92.82171262845121,111.76439905760641,114,67,80,70,61.111111111111114,61.111111111111114,33,44,40,40,,0,0,
ÑEEMBUCU,29,,64.9683838829919,78.22687361406024,80,47,58,50,43.65079365079365,43.650793650793645,24,32,30,30,,0,0,
AMAMBAY,1685,,1938.5089888858258,2334.1122036589554,2382,1389,1667,1600,1396.8253968253969,1396.8253968253966,762,1016,1500,1300,205,270,253,2442.9500428296706
CANINDEYU,4993,5034,1928.1687144016257,2321.6617270291686,2369,1394,1673,1500,1309.5238095238096,1309.5238095238094,714,952,1000,1000,2906,3824,3585,12351.918928863857
PTE. HAYES,2804,4923,519.0758616322835,625.0068017260352,638,375,450,300,261.9047619047619,261.9047619047619,143,191,900,1000,1171,1541,1445,1800
ALTO PARAGUAY,16,,13.999999999999996,16.857064392570642,17,10,12,10,8.73015873015873,8.73015873015873,5,7,10,10,188,248,233,3700
BOQUERON,3992,3715,3560.5227091653205,4287.140041400706,4374,2573,3088,2800,2444.4444444444443,2444.4444444444443,1333,1777,4000,4000,20908,27511,25792,42500
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
