departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,50942,31114,75940.24438132257,84585.9137139059,88000,92488,101400,104000.825,105000,108000,110000,100055,9810,22580,44485.000000000015,86905,94603,37759.67812369309
SAN PEDRO,435801,266171,280000,300000,320000,330000,360000,370000,350000,355000,365000,370000,390000,390000,636706.8549999988,1243855,1354030,703142.9470599617
CORDILLERA,,,2.3002654606786406,2.562146821638301,,,,0,0,0,0,0,0,0,2839.55,5547,6038,4153.775120701078
GUAIRA,23393,14288,30490.9776108925,33962.32422293757,35000,37135,40320,35001.12,36213.179146127644,41410.06753149617,43655,44000,51100,50000,19856.870000000003,38792,42228,102714.53482493656
CAAGUAZU,886607,541505,560000,580000,590000,610000,630000,640000,635000,638000,650000,665000,630000,630000,658655.1749999985,1286733,1400706,995956.032338794
CAAZAPA,244859,149550,145000,150000,160000,190000,220000,225000,210000,215000,240000,245000,330000,328000,300166.1100000002,586397,638337,605516.7212784075
ITAPUA,1155705,705860,700000,720000,750000,780000,825000,830000,810000,815000,850000,855000,950000,950000,942231.981999998,1840722,2003765,1941461.7609036686
MISIONES,50590,30898,77361.87024976988,86169.38930081773,91000,94219,96000,69678.26000000001,72091.13729733099,73000,86905,87000,95000,101800,49457.08,96618,105176,121974.87370278098
PARAGUARI,56,34,32.49952493810396,36.19954129135656,19,40,40,40,41.38530801534544,47.324439337728826,50,39,1050,1400,9745.349999999999,19038,20725,16249.779859786184
ALTO PARANA,1974840,1206156,1150000,1200000,1250000,1300000,1400000,1380000,1230000,1250000,1310000,1350000,1290000,1286000,1472655.2213999955,2876944,3131770,3387808.7036593975
CENTRAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ÑEEMBUCU,,,0,0,0,0,0,0,0,0,0,0,0,0,193.2,377,410,20
AMAMBAY,247511,151170,180000,200000,210000,250000,280000,290000,270000,270500,275000,280000,340000,330000,380269.0700000001,742885,808686,391762.50024986017
CANINDEYU,1241487,758253,800000,830000,840000,870000,920000,930000,920000,925000,960000,980000,960000,980000,606273.8240000005,1184402,1289311,1486179.5102395306
PTE. HAYES,,,,0,0,0,0,0,0,0,0,0,,0,4384,8565,9324,29750
ALTO PARAGUAY,,,,0,450,450,480,468,484.20810377954166,553.6959402514274,584,450,7500,10000,37855.4,73954,80503,67600
BOQUERON,,,,0,5775,5880,6314,8000,8277.061603069087,8300,8700,7697,50000,57000,53909.493000000075,105316,114644,155995
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
