departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,2403.1512406830834,1542.5115264488622,2550.0000000000005,2704.2357605462503,2703.0347708563704,2693.3022714036106,2600,2555.302825552825,2709.993511180455,2779.1750868673944,2725.808450006195,2441.139873618464,2972.7272727272725,2720.481927710843,1593.1482270697334,3053.4766873967887,3284.4842551123147,1959.7366584793435
SAN PEDRO,2349.800229695411,1282.8136295725094,1115.8465700598445,1138.2719208516335,1166.5336089268985,1140.4951822718663,1095.5569080949483,1085.680751173709,1078.8021899945668,1090.976331360947,1080.162882644002,1078.0665895509126,1083.3333333333333,1083.3333333333333,1604.4925686233157,3075.2561363951027,3307.8612487998885,1927.0685662764101
CORDILLERA,,,2100,2227.0176851557353,,,,,,,,,,,1682.0982169302767,3221.254355400697,3466.1308840413317,3111.2492469637223
GUAIRA,2326.7356276109012,1103.3204633204634,2480,2630.0018377077254,2603.9729186816458,2619.383508499682,2520,2651.6000000000004,2881.8149037247517,3285.629349594236,3335.4981662591686,3310.0127886857745,2838.888888888889,2777.777777777778,1488.2699694579246,2852.562688432973,3068.2264041270073,3121.4942571060324
CAAGUAZU,2782.2628222830317,1597.0065619700656,1611.889575469539,1589.4745174505788,1553.4573641777997,1522.6817170857369,1384.0556785827268,1373.3905579399143,1431.4005170591306,1433.908118952688,1406.7711140112237,1417.0312236970237,1465.1162790697674,1465.1162790697674,1581.8914943360546,3031.944522988181,3261.263149071707,2815.5686673716987
CAAZAPA,2219.6548035607448,881.9782734339062,1094.052213181873,1077.5554364915408,1104.3088751923913,1243.2439506366718,1267.2811059907833,1278.4090909090908,1253.37199892096,1279.4176976869285,1375.2951154101818,1382.2908791369991,1692.3076923076924,1682.051282051282,1642.6654287093857,3148.4233641698565,3386.564875776562,2784.441787244643
ITAPUA,2404.107580072433,1451.9625952910878,1456.0634627587567,1425.9131596967727,1427.875169441187,1407.0507674740372,1309.7317034449914,1313.1041465614076,1346.106621089764,1350.408773524031,1356.2415833242917,1343.1717390382262,1283.7837837837837,1283.7837837837837,1521.0889450639822,2915.3994668812234,3135.9149760631512,2834.5890674544744
MISIONES,2239.6847883832124,1354.6407119996493,2540,2693.6309144264615,2733.061028351754,2682.773348519362,2406.0150375939847,1893.4309782608698,2057.820168627852,2077.5984049395424,2381.7419425564567,2347.5445223961146,1900,2036,1200.7686732859324,2301.469712488983,2475.5448853740054,2574.0483777062896
PARAGUARI,1302.325581395349,343.4343434343434,650,689.3149977862989,351.85185185185185,701.7543859649122,606.0606060606061,800,869.4598835271386,991.2929896778701,1000,764.7058823529411,1500,2000,1693.2974240910473,3245.4824411864984,3490.820279602493,4219.941970410842
ALTO PARANA,2662.0762911779057,1584.025215050233,1520.9915834919416,1511.0837424129643,1518.7375767266224,1496.5269064026027,1418.4397163120568,1422.680412371134,1332.0077090152652,1349.6614408589032,1362.057851067812,1381.9917264761973,1357.8947368421052,1353.6842105263158,1418.8282870524258,2719.4035155378606,2925.0890573834035,3175.437615030279
CENTRAL,,,,,,,,,,,,,,,,,,
ÑEEMBUCU,,,,,,,,,,,,,,,1192.5925925925924,2284.8484848484845,2455.0898203592815,1000
AMAMBAY,2407.9522127854148,1403.0349436168733,1472.253623590071,1557.4655134947711,1571.1977015622194,1773.3011774719819,1750,1629.2134831460673,1593.3717867502419,1591.5996276843293,1558.1442784942094,1561.9944437626214,1752.5773195876288,1709.8445595854923,2273.421463729014,4357.377895348087,4686.947954097601,2448.331469848512
CANINDEYU,2642.3949735438473,1713.538994863358,1573.2682992659866,1554.0651225091754,1511.098478647639,1483.7630276952043,1380.7594176797238,1365.6387665198238,1419.1035176930418,1422.5946875896045,1421.739883802384,1428.9672066607368,1454.5454545454545,1484.8484848484848,1072.7837598617361,2056.157089858635,2211.6780683276265,2643.7952290570215
PTE. HAYES,,,,,,,,,,,,,,,1449.7354497354497,2779.0395846852693,2989.41968579673,2051.724137931035
ALTO PARAGUAY,,,,,1500,1424.0506329113925,1371.4285714285713,1300,1412.8723107316002,1610.8511082265393,1635.8543417366946,1243.0939226519338,1500,2000,2070.9776245965313,3969.405828994686,4269.583664810395,2600
BOQUERON,,,,,1650,1592.6327193932827,1540,1600,1738.9197670542771,1738.5798816568047,1754.7398144413069,1528.6991062562065,2000,1900,1261.7009883300364,2418.2223140685633,2601.1117413499715,2071.6467463479416
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
