departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,21198,20171,29780.487992675517,31279.045617242973,32556,34340,39000,40700,38745.4802259887,38860.45197740113,40355,40987,3300,8300,27922.69999999998,28461,28803,19267.730672034624
SAN PEDRO,185463,207490,250930.5557886719,263557.41058388376,274317,289348,328600,340800,324433.89830508473,325396.6101694915,337912,343207,360000,360000,396827.550000001,404472,409337,364876.9739514842
CORDILLERA,0,0,1.0953645050850669,1.150483374566974,0,0,0,0,0,0,0,0,0,0,1688.1000000000001,1722,1742,1335.082724328422
GUAIRA,10054,12950,12294.749036650202,12913.422240244014,13441,14177,16000,13200,12566.101694915254,12603.389830508475,13088,13293,18000,18000,13342.250000000005,13599,13763,32905.565849146944
CAAGUAZU,318664,339075,347418.3396445588,364900.4709621171,379798,400609,455184,465999.99999999994,443621.4689265537,444937.85310734465,462051,469291,430000,430000,416371.9049999992,424392,429498,353731.75013646804
CAAZAPA,110314,169562,132534.80798534385,139203.97496057508,144887,152826,173600,176000,167548.02259887007,168045.19774011298,174508,177242,195000,195000,182731.12999999986,186251,188491,217464.31333283478
ITAPUA,480721,486142,480748.2763654631,504939.58562884113,525256,554351,629900,632090,601735.395480226,603520.9604519774,626732,636553,740000,740000,619445.6840000007,631379,638973,684918.2420107002
MISIONES,22588,22809,30457.429232192866,31990.050618781697,33296,35120,39900,36800,35032.76836158192,35136.7231638418,36488,37060,50000,50000,41187.850000000006,41981,42486,47386.395205000634
PARAGUARI,43,99,49.99926913554455,52.515238182267325,54,57,66,50,47.59887005649718,47.740112994350284,50,51,700,700,5755.249999999999,5866,5937,3850.7116860197366
ALTO PARANA,741842,761450,756085.7091396869,794132.0300910575,823052,868678,987000,970000,923418.0790960452,926158.1920903955,961780,976851,950000,950000,1037937.5960000019,1057932,1070658,1066879.3137751797
CENTRAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ÑEEMBUCU,,0,0,0,0,0,0,0,0,0,0,0,0,0,162,165,167,20
AMAMBAY,102789,107745,122261.54319869995,128413.75829325641,133656,140980,160000,178000,169451.97740112993,169954.80225988702,176492,179258,194000,193000,167267.30000000002,170489,172540,160012.03475691963
CANINDEYU,469834,442507,508495.5950445595,534083.1526158259,555887,586347,666300,681000,648296.6101694915,650220.3389830509,675229,685810,660000,660000,565140.7550000001,576027,582956,562138.6610829218
PTE. HAYES,,0,0,0,0,0,0,0,0,0,0,0,0,0,3024,3082,3119,14500
ALTO PARAGUAY,,0,0,0,300,316,350,360,342.7118644067797,343.728813559322,357,362,5000,5000,18279,18631,18855,26000
BOQUERON,,0,0,0,3500,3692,4100,5000,4759.887005649717,4774.011299435028,4958,5035,25000,30000,42727.629999999976,43551,44075,75300
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
