departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,386,2200,1000,2071.8596503941494,2100,1455,1500,1550,1400,1239.3451735734734,1239,1240,1240,1240,,,,
SAN PEDRO,3253,3000,2800,2850,2700,3200,3210,3400,3300,3300,3310,3300,3300,3350,14999,8500,10290,
CORDILLERA,5,5,,,,,,,0,0,0,0,,0,248,347,390,
GUAIRA,1,1,,,,,,,0,0,0,0,,0,3,4,6,
CAAGUAZU,678,3500,3469.992277782432,4000,4000,5000,5500,6500,6000,6300,6350,6250,6250,6250,670,1500,1344,
CAAZAPA,54,54,321.9580463921843,500,450,500,495,2000,2100,2500,2700,2700,2750,3500,260,1000,625,
ITAPUA,11384,9500,9000,9450,8600,8550,8700,8750,8400,8100,8100,8000,8100,8300,3506,2650,6210,
MISIONES,2210,2202,2300,2700,2350,2350,2340,2400,400,2300,2400,2400,2400,2500,5,7,11,
PARAGUARI,125,140,150,679.3739795236679,566,570,565,590,449.7623613774702,500,500,450,452,452,350,490,840,
ALTO PARANA,1542,1400,1500,3500,3700,3900,3950,4000,3850,4100,4100,4100,4150,4350,1414,2300,3040,
CENTRAL,1,1,,,,,,,0,0,0,0,,0,,,,
ÑEEMBUCU,1,1,,,,,,,0,0,0,0,,0,2,3,2,
AMAMBAY,,,2500,2900,2800,2900,2950,2950,2850,3358.225631618444,3358,3360,3361,3360,335,469,660,
CANINDEYU,1440,2000,2500,2650,2700,2800,2810,2850,2900,2900,3000,2800,3000,3000,1612,6000,6090,
PTE. HAYES,4055,4030,3500,3600,3300,3250,3300,4000,3850,4100,4500,4000,4300,4350,638,893,2233,
ALTO PARAGUAY,2,2,,,,,,,0,0,0,0,,0,2546,4400,4840,
BOQUERON,1364,1340,1400,2700,2000,2300,2400,2450,2000,2500,3898,1000,3000,3500,5749,8048,28575,
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
