departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,2797.1014492753625,15714.285714285714,3906.25,6906.198834647166,7000,4850,5000,5000,4524.869927159209,4005.625503766085,4022.7272727272725,4000,4000,4000,,,,
SAN PEDRO,2411.4158636026687,2222.222222222222,2666.6666666666665,2714.285714285714,2708.124373119358,3047.6190476190473,3054.234062797336,3090.909090909091,3016.4214243672695,3016.4214243672695,3025.594149908592,3005.464480874317,3008.2041932543298,3056.5693430656934,5046.769851951548,2102.919346857991,2100,
CORDILLERA,833.3333333333334,833.3333333333334,,,,,,,,,,,,,6200,6425.925925925925,6500,
GUAIRA,1000,1000,,,,,,,,,,,,,1000,1000,1200,
CAAGUAZU,1899.1596638655462,9722.22222222222,9638.867438284533,9523.809523809523,9523.809523809523,9615.384615384615,8870.967741935485,8666.666666666668,8350.135763636852,8416.258064516129,8466.666666666666,8355.614973262032,8355.614973262032,8355.614973262032,3350,5514.705882352941,4800,
CAAZAPA,2454.5454545454545,2160,10731.934879739476,8333.333333333336,7500,8333.333333333334,8250,2500,2311.7326830927955,2529.315960912046,2272.727272727273,2257.5250836120404,2305.113160100587,1757.9105976896033,1733.3333333333335,4901.9607843137255,2500,
ITAPUA,2448.1720430107525,2021.276595744681,2240.571118526873,2197.2487672959837,2229.7122115633915,2233.5423197492164,2163.1029338637495,2142.507345739471,2213.3786465257194,2469.4346289752766,2469.512195121951,2443.494196701283,2467.255558939994,2526.6362252663625,2941.2751677852348,1634.793337446021,2700,
MISIONES,2581.7757009345796,2560.4651162790697,2644.5256253172797,2145.0341824929055,2173.9130434782605,2175.925925925926,2164.6623496762254,2033.8983050847457,2265.4996353026663,2136.431604761045,2039.0824129141886,2035.6234096692112,2072.5388601036266,2125.850340136054,5000,3500,2750,
PARAGUARI,2049.180327868852,2333.3333333333335,2120.5443439263954,4968.488370249759,4131.386861313868,4160.58394160584,4124.0875912408765,3933.333333333333,3004.2191278245646,3339.78494623656,3333.3333333333335,2980.132450331126,2993.377483443709,2993.377483443709,7000,7205.882352941177,7000,
ALTO PARANA,2677.0833333333335,2413.793103448276,2577.319587628866,3684.2105263157896,3826.2668045501555,3714.285714285714,3758.3254043767843,3636.363636363636,3908.6294416243654,3423.831800828101,3422.3706176961605,3416.6666666666665,3461.2176814011673,3348.729792147806,3184.6846846846847,3807.94701986755,3800,
CENTRAL,1000,1000,,,,,,,,,,,,,,,,
ÑEEMBUCU,1000,1000,,,,,,,,,,,,,,3000,2000,
AMAMBAY,,,2629.483678177435,2791.798287993157,2839.756592292089,2761.904761904762,2809.523809523809,2809.523809523809,2870.0906344410873,3205.242203208363,3204.198473282443,3203.0505243088655,3204.003813155386,3203.0505243088655,905.4054054054054,932.4055666003976,1100,
CANINDEYU,2171.945701357466,3007.518796992481,2974.4312789783394,2717.9487179487182,2741.1167512690354,2758.6206896551726,2517.921146953405,2465.3979238754323,2422.5162713140808,2422.5162713140808,2313.030069390902,2547.7707006369424,2504.1736227045076,2506.265664160401,1146.5149359886202,3138.075313807531,2900,
PTE. HAYES,2617.817947062621,2600,2696.4560862865947,2748.0916030534354,3260.869565217391,2927.9279279279276,2722.772277227723,1980.19801980198,1938.3745346594628,1940.1852641842904,1790.6884202148824,2003.0045067601402,2836.4116094986807,2871.287128712871,2320,2387.700534759358,2350.5263157894738,
ALTO PARAGUAY,2000,2000,,,,,,,,,,,,,2758.3965330444203,3505.97609561753,2200,
BOQUERON,1979.6806966618287,2000,2074.074074074074,2250.3630642205594,1669.449081803005,1769.230769230769,1846.1538461538462,1884.6153846153845,2911.208151382824,3135.6002790188336,3909.729187562688,5025.125628140704,2732.24043715847,2958.579881656805,2345.5732354141164,2414.641464146415,2500,
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
