departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,138,140,256,299.99999999999994,300,300,300,310,309.4011590470058,309.4011590470058,308,310,310,310,,,,
SAN PEDRO,1349,1350,1050,1050,997,1050,1051,1100,1094.01159047006,1094.01159047006,1094,1098,1097,1096,2972,4042,4900,
CORDILLERA,6,6,,,,,,,0,0,0,0,,0,40,54,60,
GUAIRA,1,1,,,,,,,0,0,0,0,,0,3,4,5,
CAAGUAZU,357,360,360,420,420,520,620,749.9999999999999,718.551191242756,748.551191242756,750,748,748,748,200,272,280,
CAAZAPA,22,25,30,59.999999999999986,60,60,60,800,908.40952994205,988.40952994205,1188,1196,1193,1991,150,204,250,
ITAPUA,4650,4700,4016.832996543,4300.832996543,3857,3828,4022,4084,3795.1030264005,3280.1030264005,3280,3274,3283,3285,1192,1621,2300,
MISIONES,856,860,869.72119989348,1258.72119989348,1081,1080,1081,1180,176.56149388281,1076.56149388281,1177,1179,1158,1176,1,2,4,
PARAGUARI,61,60,70.736554238833,136.73655423883315,137,137,137,150,149.71023824855118,149.71023824855118,150,151,151,151,50,68,120,
ALTO PARANA,576,580,582,950,967,1050,1051,1100,985,1197.48873148744,1198,1200,1199,1299,444,604,800,
CENTRAL,1,1,,,,,,,0,0,0,0,,0,,,,
ÑEEMBUCU,1,1,,,,,,,0,0,0,0,,0,,1,1,
AMAMBAY,,,950.75699489902,1038.75699489902,986,1050,1050,1050,993,1047.7291320627653,1048,1049,1049,1049,370,503,600,
CANINDEYU,663,665,840.4968094804,975,985,1015,1116,1156,1197.10238248551,1197.10238248551,1297,1099,1198,1197,1406,1912,2100,
PTE. HAYES,1549,1550,1298,1310,1012,1110,1212,2020,1986.200257566,2113.200257566,2513,1997,1516,1515,275,374,950,
ALTO PARAGUAY,1,1,,,,,,,0,0,0,0,,0,923,1255,2200,
BOQUERON,689,670,675,1199.80639698918,1198,1300,1300,1300,687,797.29550246828,997,199,1098,1183,2451,3333,11430,
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
