departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,728.5300000000001,972,1007.9493901684962,1052.4476769251414,1122,1028,,,,,,0,0,0,29,38,2950,
SAN PEDRO,8070.359999999994,10767,16671.306146700623,17407.300005876128,18557,17004,32000,24700,24805.22706902621,22116.548610495403,15664,17000,13800,25400,5286,5300,43103,7409.298550625343
CORDILLERA,1.6,,,,,,,,,,,0,0,0,67,89,23,
GUAIRA,1028.62,1372,11294.120250749564,11792.72564352417,12572,11520,8000,4800,4820.448985073919,4297.9527664120615,3044,5722,2200,1650,6021,7973,4438,2795.6114597541095
CAAGUAZU,88130.99999999997,117577,180070.3149841106,188019.9408191765,190000,183668,132479,222857.14285714287,223806.4165555455,199547.67909672766,190000,200000,170000,150000,111832,115000,118189,144398.39461162165
CAAZAPA,52888.9,70560,174730.28672819477,182444.16450791375,194498,178221,220000,97500,97915.37000931399,87302.16556774502,61830,70000,73500,55040,88378,90000,64750,86867.2480687688
ITAPUA,220070.20999999973,230000,235000,240000,250000,230000,280000,300000,350000,337004.2672280224,320000,330000,300000,228000,288173,290000,139050,266877.97855018714
MISIONES,20716.10000000001,27638,15898.011373958649,16599.86632409713,17697,16216,20000,12000.000000000002,12051.122462684798,10744.881916030154,7610,14306,11520,7250,18510,24512,10643,19272.29278536827
PARAGUARI,3,,,,,,,0,0,0,,0,0,0,1278,1692,90,
ALTO PARANA,299832.2199999997,300000,301000,305000,306000,300000,280000,329520,330923.82282532455,310000,300000,305000,330000,335000,378767,350000,246524,456961.5160613753
CENTRAL,0.8,,,,,,,,,,,0,0,0,,0,0,
ÑEEMBUCU,,,,,,,,,,,,0,0,0,0.15,0,0,
AMAMBAY,26868.359999999997,35845,16078.083150851786,16787.88779136473,17897,16399,30000,17400,17474.127570892957,15580.078778243726,11034,13000,11750,12996,24433,32355,28992,3764.4889664664706
CANINDEYU,81292.40999999996,108453,97079.38045459874,101365.17709455112,102000,99019,44166,54000,54230.05108208159,48351.96862213569,34245,40000,122500,108100,49472,51000,108500,27205.377468278566
PTE. HAYES,,,,,,,,,,,,,,0,68,90,167,0
ALTO PARAGUAY,,,,,,,,,,,,,,0,,0,0,0
BOQUERON,,,,,,,,,,,,,,840,558,740,281,762
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
