departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,2283.7931034482763,2592,2100,2104.1317745290585,2182.8793774319065,2182.5902335456476,,,,,,,,,3625,4750,1475,
SAN PEDRO,1771.7585071350147,1364.8117632146027,2449.9999999999995,2454.820403617235,2549.0384615384614,2548.1792297317547,2606.9246435845216,1900,2201.6473729904924,2001.4976118095392,1681.2278630460448,1617.6610524312493,2300,2540,2182.4938067712637,2116.6134185303513,1657.8076923076924,2499.9999999999995
CORDILLERA,1280,,,,,,,,,,,,,,4466.666666666667,5933.333333333334,1533.3333333333335,
GUAIRA,2503.943524829602,673.8703339882122,2550.0000000000005,2555.017154785285,2652.8803545051696,2651.9337016574586,2254.1561003099464,1200,1390.5141303097846,1264.103754827077,1061.7370073247296,1769.3259121830552,2200,1650,2985.126425384234,3823.980815347722,1268,2522.662889518413
CAAGUAZU,2263.5941244307687,2602.873461436288,2449.9999999999995,2454.8204036172347,2416.1961442596266,2548.007158414606,2029.7073693886932,2228.571428571429,2582.3817294870632,2347.619754079149,2651.1874529065385,2474.237007162916,2361.1111111111113,2142.8571428571427,2357.633764810052,2345.0722894023124,1790.742424242424,2035.3256584134995
CAAZAPA,1950.24036502592,1886.2779693640227,2550,2555.017154785285,2653.053429908199,2652.019285140323,3146.633102580239,1500,1738.1426628872305,1580.1296935338466,1327.3082454972844,1332.3182337266844,2450,1720,2439.6963423050383,2403.140103068009,1850,2888.3758186872724
ITAPUA,2072.99796270472,1890.4368552993878,1357.9774974749673,1330.846005720798,1350.2711344437964,1355.1812112963194,1328.8027487234,1388.8888888888887,1869.6581196581196,1835.5352245534993,2067.1834625322995,1890.0343642611683,2142.8571428571427,1900,1987.8935459838306,1935.0232536415135,1545,2182.8477765232597
MISIONES,2138.822496967195,1921.039827622159,2340,2344.603977332379,2434.5852249277755,2433.7385562059135,2229.9029992195337,1200.0000000000002,1390.5141303097846,1264.1037548270772,1061.811078554486,1769.6684809500248,2400,1450,3068.633952254642,3930.724823604875,1330.375,2580.2229299363053
PARAGUARI,923.0769230769231,,,,,,,,,,,,,,1690.4761904761904,2163.682864450128,1285.7142857142858,
ALTO PARANA,2127.421704322997,1460.522087962377,1657.4416469760126,1611.6229513150233,1574.8923051585443,1684.3807374218868,1858.9211618257261,2196.7999999999997,2545.5678678871122,2431.372549019608,2790.697674418605,2515.463917525773,1918.6046511627908,2093.75,2376.7860392442317,2124.392272067884,1799.9970793966033,3097.406954106447
CENTRAL,1066.6666666666667,,,,,,,,,,,,,,,,,
ÑEEMBUCU,,,,,,,,,,,,,,,600,,,
AMAMBAY,2053.0572323679985,1823.7089799033326,2370,2374.6630026827943,2465.8308073849544,2464.9030512550726,2719.608376393799,1450,1680.2045741243228,1527.4587037493852,1283.0232558139535,1340.2061855670102,2350,2280,3180.9660200494727,4074.4238760861354,2416,2257.818459191457
CANINDEYU,2041.7825898801002,2008.0913938675753,2500,2504.91877920126,2455.1099985558176,2600.015754647621,1597.381460450649,1800,2085.7711954646766,1896.1556322406154,1592.7906976744187,1649.484536082474,2450,2350,1918.4116643400032,1912.8347460805642,1550,1548.028956153183
PTE. HAYES,,,,,,,,,,,,,,0,350.5154639175257,447.76119402985074,826.7326732673267,
ALTO PARAGUAY,,,,,,,,,,,,,,,,0,0,
BOQUERON,,,,,,,,,,,,,,2800,2268.292682926829,2913.3858267716537,1101.9607843137255,2843.283582089552
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
