departamento,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
CONCEPCION,319,375,479.9759000802363,500.1814476000191,514,471,,0,,,0,0,0,0,8,8,2000,
SAN PEDRO,4555.000000000001,7889,6804.614753755357,7091.068650165229,7280,6673,12275,13000,11266.666666666666,11049.999999999998,9317,10509,6000,10000,2422,2504,26000,2963.7194202501373
CORDILLERA,1.25,,,,,,,,,,,0,0,0,15,15,15,
GUAIRA,410.7999999999998,2036,4429.066764999829,4615.517207560663,4739,4344,3549,4000,3466.6666666666665,3399.9999999999995,2867,3234,1000,1000,2017,2085,3500,1108.1985910086478
CAAGUAZU,38934.09999999999,45172,73498.08774861657,76592.13706311255,78636,72083,65270,99999.99999999999,86666.66666666667,84999.99999999999,71666,80833,72000,70000,47434,49039,66000,70946.08865894102
CAAZAPA,27119.17000000001,37407,68521.6810698803,71406.23857112447,73311,67202,69916,65000,56333.333333333336,55249.99999999999,46583,52540,30000,32000,36225,37451,35000,30074.773340350417
ITAPUA,106160.36000000004,121665,173051.46840574354,180336.41681181127,185148,169719,210716,216000.00000000003,187200,183599.99999999997,154800,174600,140000,120000,144964,149869,90000,122261.37865429086
MISIONES,9685.75,14387,6794.021954683183,7080.029925985182,7269,6663,8969,10000,8666.666666666666,8499.999999999998,7167,8084,4800,5000,6032,6236,8000,7469.235530684948
PARAGUARI,3.25,,,,,,,0,0,0,,0,0,0,756,782,70,
ALTO PARANA,140936.89999999997,205406,181605.18685479622,189250.2211830202,194299,178107,150625,150000.00000000003,130000,127499.99999999999,107500,121250,172000,160000,159361,164753,136958,147530.34484395076
CENTRAL,0.75,,,,,,,,,,,0,0,0,0,0,0,
ÑEEMBUCU,,,,,,,,,,,,0,0,0,0.25,0,0,
AMAMBAY,13087,19655,6784.001329473327,7069.587462472982,7258,6653,11031,12000,10400,10199.999999999998,8600,9700,5000,5700,7681,7941,12000,1667.3125118370078
CANINDEYU,39814.43,54008,38831.752181839496,40466.45261962278,41546,38084,27649,30000,26000,25499.999999999996,21500,24250,50000,46000,25788,26662,70000,17574.204513514604
PTE. HAYES,,,,,,,,,,,,,,0,194,201,202,0
ALTO PARAGUAY,,,,,,,,,,,,,,0,,0,0,0
BOQUERON,,,,,,,,,,,,,,300,246,254,255,268
Fuente: Sintesis Estadisticas DCEA/MAG,,,,,,,,,,,,,,,,,,
