year,crop,yield_kg_ha,department,source
2020,Soy,3603.6,Alto Parana,synthetic (FAOSTAT API fallback)
2020,Soy,3488.7,Itapua,synthetic (FAOSTAT API fallback)
2020,Soy,2492.8,Canindeyu,synthetic (FAOSTAT API fallback)
2020,Soy,2674.0,Caaguazu,synthetic (FAOSTAT API fallback)
2020,Soy,2915.0,San Pedro,synthetic (FAOSTAT API fallback)
2020,Soy,3483.2,Misiones,synthetic (FAOSTAT API fallback)
2020,Soy,2507.1,Amambay,synthetic (FAOSTAT API fallback)
2020,Soy,3793.2,Caazapa,synthetic (FAOSTAT API fallback)
2020,Soy,3735.8,Concepcion,synthetic (FAOSTAT API fallback)
2020,Soy,2507.6,Boqueron,synthetic (FAOSTAT API fallback)
2020,Maize,5838.6,Alto Parana,synthetic (FAOSTAT API fallback)
2020,Maize,4387.3,Itapua,synthetic (FAOSTAT API fallback)
2020,Maize,3316.8,Canindeyu,synthetic (FAOSTAT API fallback)
2020,Maize,5045.7,Caaguazu,synthetic (FAOSTAT API fallback)
2020,Maize,4009.9,San Pedro,synthetic (FAOSTAT API fallback)
2020,Maize,5224.4,Misiones,synthetic (FAOSTAT API fallback)
2020,Maize,5321.5,Amambay,synthetic (FAOSTAT API fallback)
2020,Maize,5303.6,Caazapa,synthetic (FAOSTAT API fallback)
2020,Maize,4626.5,Concepcion,synthetic (FAOSTAT API fallback)
2020,Maize,4197.7,Boqueron,synthetic (FAOSTAT API fallback)
2020,Wheat,3073.6,Alto Parana,synthetic (FAOSTAT API fallback)
2020,Wheat,2800.3,Itapua,synthetic (FAOSTAT API fallback)
2020,Wheat,1951.2,Canindeyu,synthetic (FAOSTAT API fallback)
2020,Wheat,1791.9,Caaguazu,synthetic (FAOSTAT API fallback)
2020,Wheat,2132.5,San Pedro,synthetic (FAOSTAT API fallback)
2020,Wheat,2273.5,Misiones,synthetic (FAOSTAT API fallback)
2020,Wheat,3071.9,Amambay,synthetic (FAOSTAT API fallback)
