trial_id,year,region,variety,yield_t_ha,rainfall_mm,soil_ph
INBIO-SYN-000,2024,Alto Paraná,BMX Potência,2.98,942,6.7
INBIO-SYN-001,2024,Alto Paraná,NS 6700,2.63,832,4.6
INBIO-SYN-002,2024,Itapúa,CD 2710,2.88,1003,6.6
INBIO-SYN-003,2024,Alto Paraguay,CD 2710,3.0,1259,6.3
INBIO-SYN-004,2024,Alto Paraná,CD 2710,2.85,959,5.1
INBIO-SYN-005,2024,Caaguazú,BMX Potência,2.57,894,5.6
INBIO-SYN-006,2024,Caaguazú,DM 53i54,2.28,1270,6.1
INBIO-SYN-007,2024,Alto Paraguay,BMX Potência,2.45,1365,5.4
INBIO-SYN-008,2024,Caaguazú,CD 2710,2.96,1033,6.8
INBIO-SYN-009,2024,Alto Paraná,CD 2710,2.85,903,5.6
