Familia linguistica y pueblo indigena;Total de comunidades ;Condicion de tenencia de tierra y titulo de propiedad a nombre de la comunidad   -  Si tiene tierra propia  -  Total ;Condicion de tenencia de tierra y titulo de propiedad a nombre de la comunidad   -  Si tiene tierra propia  -  Con titulo de propiedad ;Condicion de tenencia de tierra y titulo de propiedad a nombre de la comunidad   -  Si tiene tierra propia  -  Sin titulo de propiedad ;Condicion de tenencia de tierra y titulo de propiedad a nombre de la comunidad   -  No tiene tierra propia 
Total;557;467;406;61;90
    Guarani;430;352;319;33;78
         Ache;6;6;6; -     ; -     
         Ava Guarani;150;135;117;18;15
         Mbya Guarani;200;148;137;11;52
         Pai Tavytera;61;54;50;4;7
         Guarani Occidental / Pueblo Guarani;6;4;4; -     ;2
         Guarani Nandeva;7;5;5; -     ;2
    Lengua Maskoy;51;47;40;7;4
         Enlhet Norte;11;10;10; -     ;1
         Enxet Sur;14;14;11;3; -     
         Sanapana;8;8;8; -     ; -     
         Angaite;13;11;8;3;2
         Guana;2;2;2; -     ; -     
         Toba Maskoy / Toba Enenlhet;3;2;1;1;1
    Mataco - Mataguayo;29;25;22;3;4
         Nivacle;23;20;18;2;3
         Maka;4;4;3;1; -     
         Manjui;2;1;1; -     ;1
    Zamuco;35;32;21;11;3
         Ayoreo;26;25;16;9;1
         Ybytoso;8;6;4;2;2
         Tomaraho;1;1;1; -     ; -     
    Guaicuru;12;11;4;7;1
         Qom;12;11;4;7;1
     Region Oriental ;428;352;317;35;76
     Region Occidental ;129;115;89;26;14
