Familia linguistica y pueblo indigena;Total de comunidades con tierra propia y titulada;Institucion que otorgo o adquirio la tierra -  Parlamento, INDI, INDERT o MDS ;Institucion que otorgo o adquirio la tierra -  ONG o fundacion ;Institucion que otorgo o adquirio la tierra -  Empresa o estancia ;Institucion que otorgo o adquirio la tierra -  Iglesia ;Institucion que otorgo o adquirio la tierra -  Otra ;Institucion que otorgo o adquirio la tierra -  No reportado ;Cantidad de hectareas titulada declarada - Total hectareas;Cantidad de hectareas titulada declarada - Hectareas con montes
Total;406;292;23;4;36;24;27;1.159.085,60;603.360,00
    Guarani;319;259;5;2;16;18;19;458.285,40;227.110,00
          Ache;6;5; -     ; -     ;1; -     ; -     ;17.233,00;8.650,00
          Ava Guarani;117;102;1; -     ;5;4;5;100.345,50;27.789,00
          Mbya Guarani;137;109;3;1;7;7;10;89.090,40;43.190,00
          PaI Tavytera;50;38; -     ;1;1;6;4;77.896,50;35.581,00
          Guarani Occidental / Pueblo Guarani;4;1; -     ; -     ;2;1; -     ;37.351,00;21.800,00
          Guarani Nandeva;5;4;1; -     ; -     ; -     ; -     ;136.379,00;90.100,00
    Lengua Maskoy;40;18;8;1;7;2;4;370.492,20;157.318,00
          Enlhet Norte;10;2;4;1;1;2; -     ;38.608,20;11.882,00
          Enxet Sur;11;6; -     ; -     ;4; -     ;1;130.994,00;75.400,00
          Sanapana;8;5;2; -     ; -     ; -     ;1;67.986,00;27.750,00
          Angaite;8;4;2; -     ;1; -     ;1;86.742,00;33.256,00
          Guana;2;1; -     ; -     ; -     ; -     ;1;30.168,00;30
          Toba Maskoy / Toba Enenlhet;1; -     ; -     ; -     ;1; -     ; -     ;15.994,00;9.000,00
    Mataco - Mataguayo;22;3;9; -     ;7;2;1;136.740,00;75.220,00
          Nivacle;18;2;9; -     ;5;1;1;135.226,00;74.470,00
          Maka;3;1; -     ; -     ;1;1; -     ;314;150
          Manjui;1; -     ; -     ; -     ;1; -     ; -     ;1.200,00;600
    Zamuco;21;10;1;1;4;2;3;179.020,00;139.687,00
          Ayoreo;16;6;1;1;4;1;3;141.865,00;116.574,00
          Ybytoso;4;3; -     ; -     ; -     ;1; -     ;34.455,00;21.113,00
          Tomaraho;1;1; -     ; -     ; -     ; -     ; -     ;2.700,00;2.000,00
    Guaicuru;4;2; -     ; -     ;2; -     ; -     ;14.548,00;4.025,00
          Qom;4;2; -     ; -     ;2; -     ; -     ;14.548,00;4.025,00
     Region Oriental ;317;259;4;2;15;18;19;291.392,90;115.765,00
     Region Occidental ;89;33;19;2;21;6;8;867.692,70;487.595,00
