Familia linguistica y pueblo indigena;Total de comunidades con tierra propia sin titulo o sin tierra propia ;Propietario de la tierra que ocupa la comunidad  -  INDI, INDERT, Fiscal o MDS ;Propietario de la tierra que ocupa la comunidad  -  ONG o fundacion ;Propietario de la tierra que ocupa la comunidad  -  Empresa o estancia ;Propietario de la tierra que ocupa la comunidad  -  Iglesia ;Propietario de la tierra que ocupa la comunidad  -  Persona fisica ;Propietario de la tierra que ocupa la comunidad  -  Otro ;Propietario de la tierra que ocupa la comunidad  -  No sabe ;Propietario de la tierra que ocupa la comunidad  -  No reportado 
Total;151;68;3;14;8;4;24;12;18
    Guarani;111;59;3;10;6;4;13;8;8
         Ache; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
         Ava Guarani;33;24;2;2;2;1;1;1; -     
         Mbya Guarani;63;26;1;7;4;3;8;7;7
         Pai Tavytera;11;9; -     ;1; -     ; -     ; -     ; -     ;1
         Guarani Occidental / Pueblo Guarani;2; -     ; -     ; -     ; -     ; -     ;2; -     ; -     
         Guarani Nandeva;2; -     ; -     ; -     ; -     ; -     ;2; -     ; -     
    Lengua Maskoy;11;5; -     ;2; -     ; -     ; -     ; -     ;4
         Enlhet Norte;1;1; -     ; -     ; -     ; -     ; -     ; -     ; -     
         Enxet Sur;3;3; -     ; -     ; -     ; -     ; -     ; -     ; -     
         Sanapana; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
         Angaite;5;1; -     ;1; -     ; -     ; -     ; -     ;3
         Guana; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
         Toba Maskoy / Toba Enenlhet;2; -     ; -     ;1; -     ; -     ; -     ; -     ;1
    Mataco - Mataguayo;7;2; -     ; -     ;2; -     ;3; -     ; -     
         Nivacle;5;2; -     ; -     ;2; -     ;1; -     ; -     
         Maka;1; -     ; -     ; -     ; -     ; -     ;1; -     ; -     
         Manjui;1; -     ; -     ; -     ; -     ; -     ;1; -     ; -     
    Zamuco;14;2; -     ;1; -     ; -     ;4;4;3
         Ayoreo;10;1; -     ;1; -     ; -     ;2;3;3
         Ybytoso;4;1; -     ; -     ; -     ; -     ;2;1; -     
         Tomaraho; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
    Guaicuru;8; -     ; -     ;1; -     ; -     ;4; -     ;3
         Qom;8; -     ; -     ;1; -     ; -     ;4; -     ;3
     Region Oriental ;111;60;3;11;6;4;11;8;8
     Region Occidental ;40;8; -     ;3;2; -     ;13;4;10
