Familia linguistica y pueblo indigena;Total de comunidades con tierra propia sin titulo o sin tierra propia ;Inicio tramite para legalizar la tierra donde esta asentada  - Si, ha iniciado ;Inicio tramite para legalizar la tierra donde esta asentada  - No ha iniciado ;Inicio tramite para legalizar la tierra donde esta asentada  - No reportado 
Total;151;107;20;24
    Guarani;111;87;15;9
         Ache; -     ; -     ; -     ; -     
         Ava Guarani;33;30;3; -     
         Mbya Guarani;63;48;7;8
         Pai Tavytera;11;8;2;1
         Guarani Occidental / Pueblo Guarani;2; -     ;2; -     
         Guarani Nandeva;2;1;1; -     
    Lengua Maskoy;11;6;1;4
         Enlhet Norte;1;1; -     ; -     
         Enxet Sur;3;3; -     ; -     
         Sanapana; -     ; -     ; -     ; -     
         Angaite;5;1;1;3
         Guana; -     ; -     ; -     ; -     
         Toba Maskoy / Toba Enenlhet;2;1; -     ;1
    Mataco - Mataguayo;7;6;1; -     
         Nivacle;5;4;1; -     
         Maka;1;1; -     ; -     
         Manjui;1;1; -     ; -     
    Zamuco;14;6;1;7
         Ayoreo;10;2;1;7
         Ybytoso;4;4; -     ; -     
         Tomaraho; -     ; -     ; -     ; -     
    Guaicuru;8;2;2;4
         Qom;8;2;2;4
     Region Oriental ;111;89;13;9
     Region Occidental ;40;18;7;15
