Familia linguistica y pueblo indigena;Total de comunidades ;Total de comunidades con algun problema en relacion con la tenencia de la tierra ;Problemas existentes - Apropiacion indebida de agroempresarios o ganaderos ;Problemas existentes - Apropiacion indebida de entidades publicas ;Problemas existentes - Invasion de campesinos ;Problemas existentes - Superposicion de titulos ;Problemas existentes - Alquiler o prestacion de la tierra ;Problemas existentes -  Otro ; No hay problemas ; No reportado 
Total;557;120;40;5;21;28;22;22;424;13
   Guarani;430;90;27;5;21;23;13;14;332;8
        Ache;6;2; -     ; -     ;2;1; -     ; -     ;4; -     
        Ava Guarani;150;31;8;3;5;12;3;4;117;2
        Mbya Guarani;200;43;10;2;11;6;10;10;153;4
        Pai Tavytera;61;10;5; -     ;3;4; -     ; -     ;49;2
        Guarani Occidental / Pueblo Guarani;6;1;1; -     ; -     ; -     ; -     ; -     ;5; -     
        Guarani Nandeva;7;3;3; -     ; -     ; -     ; -     ; -     ;4; -     
   Lengua Maskoy;51;7;4; -     ; -     ;1; -     ;2;41;3
        Enlhet Norte;11; -     ; -     ; -     ; -     ; -     ; -     ; -     ;11; -     
        Enxet Sur;14;2;2; -     ; -     ; -     ; -     ; -     ;12; -     
        Sanapana;8;2; -     ; -     ; -     ;1; -     ;1;5;1
        Angaite;13;1; -     ; -     ; -     ; -     ; -     ;1;10;2
        Guana;2; -     ; -     ; -     ; -     ; -     ; -     ; -     ;2; -     
        Toba Maskoy / Toba Enenlhet;3;2;2; -     ; -     ; -     ; -     ; -     ;1; -     
   Mataco - Mataguayo;29;10;3; -     ; -     ;2;1;4;18;1
        Nivacle;23;9;3; -     ; -     ;2;1;3;13;1
        Maka;4; -     ; -     ; -     ; -     ; -     ; -     ; -     ;4; -     
        Manjui;2;1; -     ; -     ; -     ; -     ; -     ;1;1; -     
   Zamuco;35;10;5; -     ; -     ;2;6;2;24;1
        Ayoreo;26;8;3; -     ; -     ;2;6;2;17;1
        Ybytoso;8;2;2; -     ; -     ; -     ; -     ; -     ;6; -     
        Tomaraho;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1; -     
   Guaicuru;12;3;1; -     ; -     ; -     ;2; -     ;9; -     
        Qom;12;3;1; -     ; -     ; -     ;2; -     ;9; -     
    Region Oriental ;428;87;23;5;21;23;14;14;332;9
    Region Occidental ;129;33;17; -     ; -     ;5;8;8;92;4
