Familia linguistica y pueblo indigena;Total de comunidades;Total de comunidades que alquilan o prestan la tierra a terceros ;A quien alquila o presta la tierra - Brasileno ;A quien alquila o presta la tierra - Menno ;A quien alquila o presta la tierra - Paraguayo ;A quien alquila o presta la tierra - Aleman ;A quien alquila o presta la tierra - Argentino ;A quien alquila o presta la tierra - Uruguayo  ;A quien alquila o presta la tierra - Otro ;No se alquila;No reportado
Total;557;145;47;13;73;7;1;3;12;409;3
    Guarani;430;124;44;9;61;7; -     ;2;8;304;2
          Ache;6;4;1; -     ;2; -     ; -     ; -     ;1;2; -     
          Ava Guarani;150;47;28;1;15; -     ; -     ;1;3;103; -     
          Mbya Guarani;200;66;13;8;39;7; -     ;1;3;132;2
          Pai Tavytera;61;6;2; -     ;5; -     ; -     ; -     ; -     ;55; -     
          Guarani Occidental / Pueblo Guarani;6;1; -     ; -     ; -     ; -     ; -     ; -     ;1;5; -     
          Guarani Nandeva;7; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;7; -     
    Lengua Maskoy;51;6; -     ;1;5; -     ; -     ; -     ; -     ;44;1
          Enlhet Norte;11;1; -     ; -     ;1; -     ; -     ; -     ; -     ;10; -     
          Enxet Sur;14;3; -     ; -     ;3; -     ; -     ; -     ; -     ;11; -     
          Sanapana;8;2; -     ;1;1; -     ; -     ; -     ; -     ;5;1
          Angaite;13; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;13; -     
          Guana;2; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;2; -     
          Toba Maskoy / Toba Enenlhet;3; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;3; -     
    Mataco - Mataguayo;29;1; -     ; -     ;1; -     ; -     ; -     ; -     ;28; -     
          Nivacle;23;1; -     ; -     ;1; -     ; -     ; -     ; -     ;22; -     
          Maka;4; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;4; -     
          Manjui;2; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;2; -     
    Zamuco;35;7;3;1;4; -     ;1;1;1;28; -     
          Ayoreo;26;7;3;1;4; -     ;1;1;1;19; -     
          Ybytoso;8; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;8; -     
          Tomaraho;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1; -     
    Guaicuru;12;7; -     ;2;2; -     ; -     ; -     ;3;5; -     
          Qom;12;7; -     ;2;2; -     ; -     ; -     ;3;5; -     
     Region Oriental ;428;125;44;11;61;7; -     ;2;7;301;2
     Region Occidental ;129;20;3;2;12; -     ;1;1;5;108;1
