Familia linguistica y pueblo indigena;Total de comunidades que alquilan o prestan la tierra a terceros;Formas de utilizacion de la tierra alquilada o prestada a terceros  - Pastura ;Formas de utilizacion de la tierra alquilada o prestada a terceros  - Cultivo extensivo ;Formas de utilizacion de la tierra alquilada o prestada a terceros  - Extraccion de madera o produccion de carbon ;Formas de utilizacion de la tierra alquilada o prestada a terceros  - Otra ;Formas de utilizacion de la tierra alquilada o prestada a terceros  - No reportado ; - 
Total;145;21;94;2;14;14;
    Guarani;124;13;88;1;11;11;
         Ache;4; -     ;3; -     ;1; -     ;
         Ava Guarani;47;9;34; -     ;4; -     ;
         Mbya Guarani;66;2;50; -     ;5;9;
         Pai Tavytera;6;2;1;1;1;1;
         Guarani Occidental / Pueblo Guarani;1; -     ; -     ; -     ; -     ;1;
         Guarani Nandeva; -     ; -     ; -     ; -     ; -     ; -     ;
    Lengua Maskoy;6;3;2; -     ;1; -     ;
         Enlhet Norte;1; -     ; -     ; -     ;1; -     ;
         Enxet Sur;3;3; -     ; -     ; -     ; -     ;
         Sanapana;2; -     ;2; -     ; -     ; -     ;
         Angaite; -     ; -     ; -     ; -     ; -     ; -     ;
         Guana; -     ; -     ; -     ; -     ; -     ; -     ;
         Toba Maskoy / Toba Enenlhet; -     ; -     ; -     ; -     ; -     ; -     ;
    Mataco - Mataguayo;1; -     ; -     ; -     ; -     ;1;
         Nivacle;1; -     ; -     ; -     ; -     ;1;
         Maka; -     ; -     ; -     ; -     ; -     ; -     ;
         Manjui; -     ; -     ; -     ; -     ; -     ; -     ;
    Zamuco;7;3; -     ;1;1;2;
         Ayoreo;7;3; -     ;1;1;2;
         Ybytoso; -     ; -     ; -     ; -     ; -     ; -     ;
         Tomaraho; -     ; -     ; -     ; -     ; -     ; -     ;
    Guaicuru;7;2;4; -     ;1; -     ;
         Qom;7;2;4; -     ;1; -     ;
    Region Oriental ;125;13;90;1;11;10;
    Region Occidental ;20;8;4;1;3;4;
