Familia linguistica y pueblo indigena;Total de comunidades ;Total de comunidades con alguna dificultad que afecta a los recursos naturales ;Tipo de dificultad - Desmonte con maquinaria ;Tipo de dificultad - Disminucion significativa de animales silvestres ;Tipo de dificultad - Contaminacion de corrientes de agua ;Tipo de dificultad - Fumigacion con agroquimicos ;Tipo de dificultad - Mecanizacion de la tierra ;Tipo de dificultad - Alquiler de tierra ;Tipo de dificultad - Colmatacion, sedimentacion de rios, arroyos o lagunas ;Tipo de dificultad - Salinizacion ;Tipo de dificultad - Explotacion mineral o petrolera ;Tipo de dificultad - Incendios Forestales ;Tipo de dificultad - Otro ;Sin dificultad ;No reportado 
Total;557;269;41;96;63;68;34;39;23;6;1;124;19;278;10
     Guarani;430;222;35;88;57;66;34;33;18;1;1;101;11;203;5
           Ache;6;5;1;4;2;1;1;1; -     ; -     ; -     ;4; -     ;1; -     
           Ava Guarani;150;77;8;35;18;23;10;11;7; -     ; -     ;34;3;73; -     
           Mbya Guarani;200;102;16;38;28;34;21;21;8; -     ; -     ;42;6;93;5
           Pai Tavytera;61;32;7;9;8;8;2; -     ;2; -     ; -     ;20;2;29; -     
           Guarani Occidental / Pueblo Guarani;6;3; -     ;2;1; -     ; -     ; -     ;1;1; -     ;1; -     ;3; -     
           Guarani Nandeva;7;3;3; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1; -     ; -     ;4; -     
     Lengua Maskoy;51;17;1;1;2; -     ; -     ;1;3;2; -     ;10;1;30;4
           Enlhet Norte;11;4; -     ; -     ;1; -     ; -     ; -     ; -     ; -     ; -     ;3; -     ;7; -     
           Enxet Sur;14;4;1; -     ; -     ; -     ; -     ; -     ;1; -     ; -     ;2; -     ;10; -     
           Sanapana;8;6; -     ; -     ; -     ; -     ; -     ;1;2; -     ; -     ;3;1;1;1
           Angaite;13;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1; -     ;10;2
           Guana;2; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;2; -     
           Toba Maskoy / Toba Enenlhet;3;2; -     ;1;1; -     ; -     ; -     ; -     ;2; -     ;1; -     ; -     ;1
     Mataco - Mataguayo;29;8; -     ;2;3; -     ; -     ; -     ; -     ;3; -     ;3;3;21; -     
           Nivacle;23;7; -     ;2;3; -     ; -     ; -     ; -     ;3; -     ;2;3;16; -     
           Maka;4;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1; -     ;3; -     
           Manjui;2; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;2; -     
     Zamuco;35;16;4;4;1; -     ; -     ;5;1; -     ; -     ;9;3;19; -     
           Ayoreo;26;10;3;2;1; -     ; -     ;5; -     ; -     ; -     ;5;2;16; -     
           Ybytoso;8;5;1;2; -     ; -     ; -     ; -     ;1; -     ; -     ;3;1;3; -     
           Tomaraho;1;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1; -     ; -     ; -     
     Guaicuru;12;6;1;1; -     ;2; -     ; -     ;1; -     ; -     ;1;1;5;1
           Qom;12;6;1;1; -     ;2; -     ; -     ;1; -     ; -     ;1;1;5;1
     Region Oriental ;428;220;32;88;57;66;34;33;17; -     ; -     ;101;12;201;7
     Region Occidental ;129;49;9;8;6;2; -     ;6;6;6;1;23;7;77;3
