Familia linguistica y pueblo indigena;Total de comunidades ;Total de comunidades con algun problema de violencia interna ;Tipo de violencia interna - Homicidio ;Tipo de violencia interna - Robo ;Tipo de violencia interna - Abigeo ;Tipo de violencia interna - Lesion corporal ;Tipo de violencia interna - Violacion ;Tipo de violencia interna - Otro ;No hubo problemas ;No reportado 
Total;557;99;23;39;22;37;12;9;448;10
     Guarani;430;68;16;28;15;24;7;5;356;6
           Ache;6;1; -     ; -     ; -     ; -     ;1; -     ;4;1
           Ava Guarani;150;19;3;8;2;8;2;1;130;1
           Mbya Guarani;200;22;2;10;4;8;1;2;174;4
           Pai Tavytera;61;24;11;9;8;8;3;1;37; -     
           Guarani Occidental / Pueblo Guarani;6;2; -     ;1;1; -     ; -     ;1;4; -     
           Guarani Nandeva;7; -     ; -     ; -     ; -     ; -     ; -     ; -     ;7; -     
     Lengua Maskoy;51;13;4;3;4;6;2;2;35;3
           Enlhet Norte;11;5;2;1; -     ;3; -     ;2;6; -     
           Enxet Sur;14;4;2;2;3; -     ;1; -     ;10; -     
           Sanapana;8;2; -     ; -     ; -     ;2; -     ; -     ;5;1
           Angaite;13;1; -     ; -     ; -     ;1; -     ; -     ;10;2
           Guana;2; -     ; -     ; -     ; -     ; -     ; -     ; -     ;2; -     
           Toba Maskoy / Toba Enenlhet;3;1; -     ; -     ;1; -     ;1; -     ;2; -     
     Mataco - Mataguayo;29;10;2;5;3;5;1;1;19; -     
           Nivacle;23;8;2;5;3;3;1;1;15; -     
           Maka;4;1; -     ; -     ; -     ;1; -     ; -     ;3; -     
           Manjui;2;1; -     ; -     ; -     ;1; -     ; -     ;1; -     
     Zamuco;35;7; -     ;3; -     ;2;2;1;28; -     
           Ayoreo;26;4; -     ;3; -     ; -     ;2; -     ;22; -     
           Ybytoso;8;2; -     ; -     ; -     ;1; -     ;1;6; -     
           Tomaraho;1;1; -     ; -     ; -     ;1; -     ; -     ; -     ; -     
     Guaicuru;12;1;1; -     ; -     ; -     ; -     ; -     ;10;1
           Qom;12;1;1; -     ; -     ; -     ; -     ; -     ;10;1
     Region Oriental ;428;68;17;27;14;25;7;6;353;7
     Region Occidental ;129;31;6;12;8;12;5;3;95;3
