Familia linguistica y pueblo indigena;Total de comunidades;Total de comunidades con algun problema de violencia externa;Tipo de violencia externa - Homicidio ;Tipo de violencia externa - Robo ;Tipo de violencia externa -  Abigeo ;Tipo de violencia externa - Lesion corporal ;Tipo de violencia externa - Violacion ;Tipo de violencia externa - Atropello a la comunidad ;Tipo de violencia externa - Traslado forzoso ;Tipo de violencia externa - Otro ;No hubo problemas  ;No reportado 
Total;557;89;9;29;16;19;7;26;3;11;463;5
     Guarani;430;56;7;19;8;12;3;17;3;7;371;3
          Ache;6;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1;5; -     
          Ava Guarani;150;22;4;8;3;2;1;8;2;3;127;1
          Mbya Guarani;200;14;1;4;1;6; -     ;5; -     ;1;184;2
          Pai Tavytera;61;14;2;6;3;3;2;2; -     ;2;47; -     
          Guarani Occidental / Pueblo Guarani;6;3; -     ;1;1;1; -     ;1; -     ; -     ;3; -     
          Guarani Nandeva;7;2; -     ; -     ; -     ; -     ; -     ;1;1; -     ;5; -     
     Lengua Maskoy;51;12;2;4;4;3;1;1; -     ;1;37;2
          Enlhet Norte;11;3;1; -     ; -     ;1; -     ; -     ; -     ;1;8; -     
          Enxet Sur;14;5;1;2;3;1;1; -     ; -     ; -     ;9; -     
          Sanapana;8; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;7;1
          Angaite;13;2; -     ;2; -     ; -     ; -     ; -     ; -     ; -     ;10;1
          Guana;2; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;2; -     
          Toba Maskoy / Toba Enenlhet;3;2; -     ; -     ;1;1; -     ;1; -     ; -     ;1; -     
     Mataco - Mataguayo;29;10; -     ;3;3;3;1;2; -     ;2;19; -     
          Nivacle;23;7; -     ;3;3;1;1;2; -     ;1;16; -     
          Maka;4;2; -     ; -     ; -     ;1; -     ; -     ; -     ;1;2; -     
          Manjui;2;1; -     ; -     ; -     ;1; -     ; -     ; -     ; -     ;1; -     
     Zamuco;35;7; -     ;3; -     ; -     ;2;4; -     ; -     ;28; -     
          Ayoreo;26;5; -     ;3; -     ; -     ;2;2; -     ; -     ;21; -     
          Ybytoso;8;1; -     ; -     ; -     ; -     ; -     ;1; -     ; -     ;7; -     
          Tomaraho;1;1; -     ; -     ; -     ; -     ; -     ;1; -     ; -     ; -     ; -     
     Guaicuru;12;4; -     ; -     ;1;1; -     ;2; -     ;1;8; -     
          Qom;12;4; -     ; -     ;1;1; -     ;2; -     ;1;8; -     
     Region Oriental ;428;54;7;18;7;11;3;17;2;8;371;3
     Region Occidental ;129;35;2;11;9;8;4;9;1;3;92;2
