Familia linguistica y pueblo indigena;Total de comunidades con problemas de violencia externa ;Principales agresores de violencia externa  - Duenos de estancias o de cultivos extensivos;Principales agresores de violencia externa  - Jueces, fiscales o policias;Principales agresores de violencia externa  - Indigenas de otra comunidad;Principales agresores de violencia externa  - No indigenas ;Principales agresores de violencia externa  - Instituciones publicas ;Principales agresores de violencia externa  - Iglesia ;Principales agresores de violencia externa  - Campesinos ;Principales agresores de violencia externa  - Otro ;Principales agresores de violencia externa  - No reportado 
Total;89;16;9;29;39;1;4;6;7;3
    Guarani;56;13;6;21;21; -     ;3;6;5;1
           Ache;1; -     ; -     ; -     ; -     ; -     ; -     ;1; -     ; -     
           Ava Guarani;22;7;1;6;10; -     ;2;1;2; -     
           Mbya Guarani;14;2; -     ;6;5; -     ; -     ;3; -     ; -     
           Pai Tavytera;14;4;3;8;4; -     ;1;1;2;1
           Guarani Occidental / Pueblo Guarani;3; -     ;1;1;1; -     ; -     ; -     ; -     ; -     
           Guarani Nandeva;2; -     ;1; -     ;1; -     ; -     ; -     ;1; -     
    Lengua Maskoy;12; -     ; -     ;6;7; -     ; -     ; -     ; -     ; -     
           Enlhet Norte;3; -     ; -     ;3; -     ; -     ; -     ; -     ; -     ; -     
           Enxet Sur;5; -     ; -     ;2;4; -     ; -     ; -     ; -     ; -     
           Sanapana; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
           Angaite;2; -     ; -     ; -     ;2; -     ; -     ; -     ; -     ; -     
           Guana; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
           Toba Maskoy / Toba Enenlhet;2; -     ; -     ;1;1; -     ; -     ; -     ; -     ; -     
    Mataco - Mataguayo;10;1;1; -     ;6; -     ;1; -     ;1;1
           Nivacle;7;1;1; -     ;3; -     ;1; -     ;1;1
           Maka;2; -     ; -     ; -     ;2; -     ; -     ; -     ; -     ; -     
           Manjui;1; -     ; -     ; -     ;1; -     ; -     ; -     ; -     ; -     
    Zamuco;7;2;1; -     ;3; -     ; -     ; -     ;1;1
           Ayoreo;5;2;1; -     ;2; -     ; -     ; -     ; -     ;1
           Ybytoso;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1; -     
           Tomaraho;1; -     ; -     ; -     ;1; -     ; -     ; -     ; -     ; -     
    Guaicuru;4; -     ;1;2;2;1; -     ; -     ; -     ; -     
           Qom;4; -     ;1;2;2;1; -     ; -     ; -     ; -     
      Region Oriental ;54;13;5;20;20; -     ;3;6;5;1
      Region Occidental ;35;3;4;9;19;1;1; -     ;2;2
