Familia linguistica y pueblo indigena;Total de comunidades con problemas de violencia externa ;Total de comunidades que recurre por algun  hecho de violencia externa ;Persona o institucion a la que recurrio - Lideres o lideresas de la comunidad ;Persona o institucion a la que recurrio - Fiscalia o  CODENI ;Persona o institucion a la que recurrio - Patron de la estancia  ;Persona o institucion a la que recurrio - INDI  ;Persona o institucion a la que recurrio - Organizacion indigena  ;Persona o institucion a la que recurrio - Comisario de la comunidad  ;Persona o institucion a la que recurrio - Juzgado  ;Persona o institucion a la que recurrio - Policia Nacional ;Persona o institucion a la que recurrio - Personal de salud del Hospital o USF ;Persona o institucion a la que recurrio - Otro   ;Tuvo respuesta  - Si ;Tuvo respuesta  - No ;Tuvo respuesta  - No reportado 
Total;89;79;38;22;2;14;10;10;12;49;11;7;53;28;8
     Guarani;56;49;25;14;2;11;7;7;7;32;8;6;35;17;4
           Ache;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1; -     ; -     
           Ava Guarani;22;21;10;5; -     ;6;2;3;2;15;3;3;13;8;1
           Mbya Guarani;14;13;6;3; -     ;1; -     ; -     ;1;8;2; -     ;10;3;1
           Pai Tavytera;14;10;6;3;2;2;4;3;2;6;3;1;9;3;2
           Guarani Occidental / Pueblo Guarani;3;3;2;1; -     ;1; -     ;1;1;1; -     ;1;2;1; -     
           Guarani Nandeva;2;2;1;2; -     ;1;1; -     ;1;2; -     ;1; -     ;2; -     
     Lengua Maskoy;12;11;6;5; -     ;1; -     ;1;1;7;1; -     ;6;5;1
           Enlhet Norte;3;2; -     ; -     ; -     ; -     ; -     ; -     ; -     ;2; -     ; -     ;2; -     ;1
           Enxet Sur;5;5;4;5; -     ;1; -     ; -     ;1;3;1; -     ;2;3; -     
           Sanapana; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
           Angaite;2;2;1; -     ; -     ; -     ; -     ; -     ; -     ;1; -     ; -     ;1;1; -     
           Guana; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
           Toba Maskoy / Toba Enenlhet;2;2;1; -     ; -     ; -     ; -     ;1; -     ;1; -     ; -     ;1;1; -     
     Mataco - Mataguayo;10;9;3;1; -     ;1; -     ; -     ; -     ;4; -     ;1;5;5; -     
           Nivacle;7;7;1; -     ; -     ;1; -     ; -     ; -     ;4; -     ;1;4;3; -     
           Maka;2;2;2;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1;1; -     
           Manjui;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1; -     
     Zamuco;7;6;1;1; -     ;1;3;1;3;3; -     ; -     ;3;1;3
           Ayoreo;5;5;1;1; -     ;1;2;1;3;3; -     ; -     ;2;1;2
           Ybytoso;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1
           Tomaraho;1;1; -     ; -     ; -     ; -     ;1; -     ; -     ; -     ; -     ; -     ;1; -     ; -     
     Guaicuru;4;4;3;1; -     ; -     ; -     ;1;1;3;2; -     ;4; -     ; -     
           Qom;4;4;3;1; -     ; -     ; -     ;1;1;3;2; -     ;4; -     ; -     
     Region Oriental ;54;46;24;11;2;10;6;6;5;29;8;4;34;15;5
     Region Occidental ;35;33;14;11; -     ;4;4;4;7;20;3;3;19;13;3
