Familia linguistica y pueblo indigena;Total de comunidades;Esta asociada a una organizacion indigena - Si, Organizacion Indigena de su pueblo;Esta asociada a una organizacion indigena - Si, Organizacion Departamental;Esta asociada a una organizacion indigena - Si, Organizacion Nacional;Esta asociada a una organizacion indigena - Si, Organizacion Regional;Esta asociada a una organizacion indigena - Si, Organizacion Internacional;Esta asociada a una organizacion indigena - No esta asociada;Esta asociada a una organizacion indigena - No reportado
Total;557;234;143;49;27;13;160;15
    Guarani;430;176;125;32;20;10;125;9
          Ache;6;6; -     ;1; -     ; -     ; -     ; -     
          Ava Guarani;150;51;49;9;9;3;50;4
          Mbya Guarani;200;75;60;13;10;4;60;4
          Pai Tavytera;61;36;15;7;1;3;11;1
          Guarani Occidental / Pueblo Guarani;6;4;1; -     ; -     ; -     ;2; -     
          Guarani Nandeva;7;4; -     ;2; -     ; -     ;2; -     
    Lengua Maskoy;51;20;11;6;3;1;11;6
          Enlhet Norte;11;2; -     ; -     ;2; -     ;4;3
          Enxet Sur;14;6;7;2; -     ;1; -     ; -     
          Sanapana;8;6;1; -     ;1; -     ; -     ;1
          Angaite;13;5;2;3; -     ; -     ;4;2
          Guana;2;1;1;1; -     ; -     ; -     ; -     
          Toba Maskoy / Toba Enenlhet;3; -     ; -     ; -     ; -     ; -     ;3; -     
    Mataco - Mataguayo;29;10;5;1;3; -     ;12; -     
          Nivacle;23;9;5;1;3; -     ;7; -     
          Maka;4;1; -     ; -     ; -     ; -     ;3; -     
          Manjui;2; -     ; -     ; -     ; -     ; -     ;2; -     
    Zamuco;35;25; -     ;8;1;2;7; -     
          Ayoreo;26;19; -     ;6;1;2;4; -     
          Ybytoso;8;6; -     ;2; -     ; -     ;2; -     
          Tomaraho;1; -     ; -     ; -     ; -     ; -     ;1; -     
    Guaicuru;12;3;2;2; -     ; -     ;5; -     
          Qom;12;3;2;2; -     ; -     ;5; -     
    Region Oriental ;428;170;127;30;20;10;126;10
    Region Occidental ;129;64;16;19;7;3;34;5
