Familia linguistica y pueblo indigena ; Total de comunidades, aldeas o barrios ; Cuenta con un local de atencion a la salud  -  Si ; Cuenta con un local de atencion a la salud  -  No ; Cuenta con un local de atencion a la salud  -  No reportado 
Total;789;267;514;8
    Guarani;506;124;378;4
          Ache;6;6; -     ; -     
          Ava Guarani;175;47;128; -     
          Mbya Guarani;205;34;167;4
          Pai Tavytera;73;22;51; -     
          Guarani Occidental / Pueblo Guarani;27;5;22; -     
          Guarani Nandeva;20;10;10; -     
    Lengua Maskoy;162;73;87;2
          Enlhet Norte;44;29;14;1
          Enxet Sur;45;11;34; -     
          Sanapana;21;5;16; -     
          Angaite;42;21;21; -     
          Guana;2;1;1; -     
          Toba Maskoy / Toba Enenlhet;8;6;1;1
    Mataco - Mataguayo;73;47;26; -     
          Nivacle;67;43;24; -     
          Maka;4;3;1; -     
          Manjui;2;1;1; -     
    Zamuco;35;15;18;2
          Ayoreo;26;11;13;2
          Ybytoso;8;4;4; -     
          Tomaraho;1; -     ;1; -     
    Guaicuru;13;8;5; -     
          Qom;13;8;5; -     
    Region Oriental ;471;113;354;4
    Region Occidental ;318;154;160;4
