 Familia linguistica y pueblo indigena ; Total de comunidades, aldeas o barrios ; Recibe los servicios  de una USF  -  Si recibe ; Recibe los servicios  de una USF  -  No recibe 
Total;789;608;181
       Guarani;506;397;109
             Ache;6;6; -     
             Ava Guarani;175;125;50
             Mbya Guarani;205;159;46
             Pai Tavytera;73;64;9
             Guarani Occidental / Pueblo Guarani;27;26;1
             Guarani Nandeva;20;17;3
       Lengua Maskoy;162;120;42
             Enlhet Norte;44;22;22
             Enxet Sur;45;41;4
             Sanapana;21;11;10
             Angaite;42;38;4
             Guana;2;2; -     
             Toba Maskoy / Toba Enenlhet;8;6;2
       Mataco - Mataguayo;73;47;26
             Nivacle;67;42;25
             Maka;4;4; -     
             Manjui;2;1;1
       Zamuco;35;33;2
             Ayoreo;26;25;1
             Ybytoso;8;7;1
             Tomaraho;1;1; -     
       Guaicuru;13;11;2
             Qom;13;11;2
       Region Oriental ;471;365;106
       Region Occidental ;318;243;75
