 Familia linguistica y pueblo indigena ; Total de comunidades que reciben el servicio de una USF ; Frecuencia de atencion del equipo de salud  -  Cinco dias a la semana ; Frecuencia de atencion del equipo de salud  -  Una vez por semana ; Frecuencia de atencion del equipo de salud  -  Una vez cada 15 dias ; Frecuencia de atencion del equipo de salud  -  Una vez al mes ; Frecuencia de atencion del equipo de salud  -  Una vez al ano ; Frecuencia de atencion del equipo de salud  -  Algunas veces al ano ; Frecuencia de atencion del equipo de salud  -  No reportado 
Total;608;59;49;42;276;45;128;9
         Guarani;397;36;20;33;194;26;84;4
               Ache;6; -     ; -     ;1;5; -     ; -     ; -     
               Ava Guarani;125;17;9;13;45;8;31;2
               Mbya Guarani;159;7;2;7;94;12;35;2
               Pai Tavytera;64;1;2;5;43;5;8; -     
               Guarani Occidental / Pueblo Guarani;26;8;5;7;1;1;4; -     
               Guarani Nandeva;17;3;2; -     ;6; -     ;6; -     
         Lengua Maskoy;120;12;15;2;46;16;26;3
               Enlhet Norte;22;2;3; -     ;14;2;1; -     
               Enxet Sur;41;2;2;1;12;9;15; -     
               Sanapana;11; -     ; -     ; -     ;2;5;4; -     
               Angaite;38;6;6; -     ;18; -     ;6;2
               Guana;2; -     ; -     ;1; -     ; -     ; -     ;1
               Toba Maskoy / Toba Enenlhet;6;2;4; -     ; -     ; -     ; -     ; -     
         Mataco - Mataguayo;47;5;5;4;17;2;13;1
               Nivacle;42;4;5;3;16;2;11;1
               Maka;4;1; -     ;1; -     ; -     ;2; -     
               Manjui;1; -     ; -     ; -     ;1; -     ; -     ; -     
         Zamuco;33;4;6;3;15; -     ;4;1
               Ayoreo;25;3;5;3;12; -     ;1;1
               Ybytoso;7;1;1; -     ;3; -     ;2; -     
               Tomaraho;1; -     ; -     ; -     ; -     ; -     ;1; -     
         Guaicuru;11;2;3; -     ;4;1;1; -     
               Qom;11;2;3; -     ;4;1;1; -     
         Region Oriental ;365;28;14;28;189;25;77;4
         Region Occidental ;243;31;35;14;87;20;51;5
