 Familia linguistica y pueblo indigena ; Total de comunidades que reciben el servicio de una USF ;El equipo de salud provee medicamentos -  Si ;El equipo de salud provee medicamentos -  No ;El equipo de salud provee medicamentos -  No reportado 
Total;608;475;119;14
       Guarani;397;309;80;8
              Ache;6;6; -     ; -     
              Ava Guarani;125;98;26;1
              Mbya Guarani;159;123;31;5
              Pai Tavytera;64;56;6;2
              Guarani Occidental / Pueblo Guarani;26;12;14; -     
              Guarani Nandeva;17;14;3; -     
       Lengua Maskoy;120;97;21;2
              Enlhet Norte;22;20;1;1
              Enxet Sur;41;30;11; -     
              Sanapana;11;6;5; -     
              Angaite;38;34;4; -     
              Guana;2;2; -     ; -     
              Toba Maskoy / Toba Enenlhet;6;5; -     ;1
       Mataco - Mataguayo;47;36;9;2
              Nivacle;42;32;8;2
              Maka;4;3;1; -     
              Manjui;1;1; -     ; -     
       Zamuco;33;24;7;2
              Ayoreo;25;17;6;2
              Ybytoso;7;6;1; -     
              Tomaraho;1;1; -     ; -     
       Guaicuru;11;9;2; -     
              Qom;11;9;2; -     
       Region Oriental ;365;291;66;8
       Region Occidental ;243;184;53;6
