 Familia linguistica y pueblo indigena ; Total de comunidades, aldeas y barrios ;En caso de necesidad de atencion de salud, recurren a:  -  USF mas cercana ;En caso de necesidad de atencion de salud, recurren a:  -  Centro de Salud ;En caso de necesidad de atencion de salud, recurren a:  -  Hospital distrital ;En caso de necesidad de atencion de salud, recurren a:  -  No reportado 
Total;789;305;331;140;13
          Guarani;506;207;188;104;7
                  Ache;6;2;2;2; -     
                  Ava Guarani;175;74;63;37;1
                  Mbya Guarani;205;68;92;41;4
                  Pa? Tavytera;73;35;24;12;2
                  Guarani Occidental / Pueblo Guarani;27;18;2;7; -     
                  Guarani Nandeva;20;10;5;5; -     
          Lengua Maskoy;162;57;86;18;1
                  Enlhet Norte;44;6;35;3; -     
                  Enxet Sur;45;23;13;9; -     
                  Sanapana;21;3;17; -     ;1
                  Angaite;42;21;17;4; -     
                  Guana;2; -     ;1;1; -     
                  Toba Maskoy / Toba Enenlhet;8;4;3;1; -     
          Mataco - Mataguayo;73;24;42;4;3
                  Nivacle;67;22;40;2;3
                  Maka;4;1;1;2; -     
                  Manjui;2;1;1; -     ; -     
          Zamuco;35;14;9;10;2
                  Ayoreo;26;12;5;7;2
                  Ybytoso;8;2;4;2; -     
                  Tomaraho;1; -     ; -     ;1; -     
          Guaicuru;13;3;6;4; -     
                  Qom;13;3;6;4; -     
          Region Oriental ;471;183;185;96;7
          Region Occidental ;318;122;146;44;6
