 Familia linguistica y pueblo indigena ; Total de comunidades, aldeas o barrios ; Medio mas utilizado para el traslado de los enfermos  -  Ambulancia o vehiculo de la USF ; Medio mas utilizado para el traslado de los enfermos  -  Patrullera ; Medio mas utilizado para el traslado de los enfermos  -  Auto o camioneta ; Medio mas utilizado para el traslado de los enfermos  -  Moto ; Medio mas utilizado para el traslado de los enfermos  -  Transporte publico ; Medio mas utilizado para el traslado de los enfermos  -  Otro ; Medio mas utilizado para el traslado de los enfermos  -  No reportado 
Total;789;226;40;131;309;14;61;8
         Guarani;506;140;29;83;209;7;35;3
               Ache;6; -     ; -     ;5; -     ; -     ;1; -     
               Ava Guarani;175;32;10;43;77;6;6;1
               Mbya Guarani;205;54;13;27;97; -     ;12;2
               Pai Tavytera;73;28;6;4;24; -     ;11; -     
               Guarani Occidental / Pueblo Guarani;27;10; -     ;3;8;1;5; -     
               Guarani Nandeva;20;16; -     ;1;3; -     ; -     ; -     
         Lengua Maskoy;162;48;10;30;58;4;9;3
               Enlhet Norte;44;6; -     ;12;23;1;1;1
               Enxet Sur;45;14;7;8;12;1;3; -     
               Sanapana;21;4; -     ;4;8;2;1;2
               Angaite;42;19;3;5;11; -     ;4; -     
               Guana;2;2; -     ; -     ; -     ; -     ; -     ; -     
               Toba Maskoy / Toba Enenlhet;8;3; -     ;1;4; -     ; -     ; -     
         Mataco - Mataguayo;73;19; -     ;8;33; -     ;13; -     
               Nivacle;67;17; -     ;6;32; -     ;12; -     
               Maka;4;1; -     ;2; -     ; -     ;1; -     
               Manjui;2;1; -     ; -     ;1; -     ; -     ; -     
         Zamuco;35;16;1;6;5;1;4;2
               Ayoreo;26;10;1;6;5; -     ;2;2
               Ybytoso;8;6; -     ; -     ; -     ;1;1; -     
               Tomaraho;1; -     ; -     ; -     ; -     ; -     ;1; -     
         Guaicuru;13;3; -     ;4;4;2; -     ; -     
               Qom;13;3; -     ;4;4;2; -     ; -     
         Region Oriental ;471;117;29;82;201;8;31;3
         Region Occidental ;318;109;11;49;108;6;30;5
