Familia linguistica y pueblo indigena;Total de comunidades, aldeas o barrios que cuentan con Promotor de Salud Indigena;Quien le paga el salario al promotor indigena de salud - Ministerio de Salud Publica y Bienestar Social;Quien le paga el salario al promotor indigena de salud - Otra institucion;Quien le paga el salario al promotor indigena de salud - No tiene salario;Quien le paga el salario al promotor indigena de salud - No reportado
Total;308;139;34;125;10
      Guarani;157;52;2;99;4
            Ache;5;1;1;2;1
            Ava Guarani;43;20;1;19;3
            Mbya Guarani;48;15; -     ;33; -     
            Pai Tavytera;42;2; -     ;40; -     
            Guarani Occidental / Pueblo Guarani;8;5; -     ;3; -     
            Guarani Nandeva;11;9; -     ;2; -     
      Lengua Maskoy;77;46;16;11;4
            Enlhet Norte;27;7;12;6;2
            Enxet Sur;16;14; -     ;1;1
            Sanapana;6;3;2;1; -     
            Angaite;23;19;2;2; -     
            Guana;1; -     ; -     ; -     ;1
            Toba Maskoy / Toba Enenlhet;4;3; -     ;1; -     
      Mataco - Mataguayo;52;21;16;13;2
            Nivacle;48;19;16;11;2
            Maka;3;1; -     ;2; -     
            Manjui;1;1; -     ; -     ; -     
      Zamuco;13;12; -     ;1; -     
            Ayoreo;8;7; -     ;1; -     
            Ybytoso;4;4; -     ; -     ; -     
            Tomaraho;1;1; -     ; -     ; -     
      Guaicuru;9;8; -     ;1; -     
            Qom;9;8; -     ;1; -     
      Region Oriental ;144;39;2;99;4
      Region Occidental ;164;100;32;26;6
