Familia linguistica y pueblo indigena;Total de comunidades, aldeas o barrios;Cuenta con un agente comunitario de salud - Si, cuenta con un agente  indigena ;Cuenta con un agente comunitario de salud - Si, cuenta con un agente no  indigena ;Cuenta con un agente comunitario de salud - Si cuenta pero no se sabe si es indigena o no;No cuenta con agente sanitario de salud;No Reportado
Total;789;149;29;5;602;4
        Guarani;506;66;19;2;417;2
              Ache;6;1; -     ; -     ;5; -     
              Ava Guarani;175;24;6; -     ;144;1
              Mbya Guarani;205;21;7;1;175;1
              Pai Tavytera;73;12;4;1;56; -     
              Guarani Occidental / Pueblo Guarani;27;5;1; -     ;21; -     
              Guarani Nandeva;20;3;1; -     ;16; -     
        Lengua Maskoy;162;46;3;3;109;1
              Enlhet Norte;44;19;1;2;21;1
              Enxet Sur;45;10;1; -     ;34; -     
              Sanapana;21; -     ; -     ;1;20; -     
              Angaite;42;10;1; -     ;31; -     
              Guana;2;1; -     ; -     ;1; -     
              Toba Maskoy / Toba Enenlhet;8;6; -     ; -     ;2; -     
        Mataco - Mataguayo;73;29;5; -     ;38;1
              Nivacle;67;29;5; -     ;32;1
              Maka;4; -     ; -     ; -     ;4; -     
              Manjui;2; -     ; -     ; -     ;2; -     
        Zamuco;35;5; -     ; -     ;30; -     
              Ayoreo;26;3; -     ; -     ;23; -     
              Ybytoso;8;2; -     ; -     ;6; -     
              Tomaraho;1; -     ; -     ; -     ;1; -     
        Guaicuru;13;3;2; -     ;8; -     
              Qom;13;3;2; -     ;8; -     
        Region Oriental ;471;58;17;2;392;2
        Region Occidental ;318;91;12;3;210;2
