Familia linguistica y pueblo indigena;Total de comunidades, aldeas o barrios;Quien realiza principalmente los controles prenatales -  Total ;Quien realiza principalmente los controles prenatales - Partera indigena;Quien realiza principalmente los controles prenatales - Licenciada en enfermeria u Obstetra;Quien realiza principalmente los controles prenatales - Medico;Quien realiza principalmente los controles prenatales - Promotor indigena o agente comunitario de salud;Quien realiza principalmente los controles prenatales - Otro;;
Total;789;740;285;363;45;33;14;36;13
       Guarani;506;476;187;241;29;10;9;25;5
              Ache;6;6;1;5; -     ; -     ; -     ; -     ; -     
              Ava Guarani;175;156;45;93;12;3;3;17;2
              Mbya Guarani;205;195;105;76;7;3;4;7;3
              Pa? Tavytera;73;73;32;32;6;2;1; -     ; -     
              Guarani Occidental / Pueblo Guarani;27;27;3;23; -     ; -     ;1; -     ; -     
              Guarani Nandeva;20;19;1;12;4;2; -     ;1; -     
       Lengua Maskoy;162;150;51;74;6;18;1;8;4
              Enlhet Norte;44;44;19;10;1;14; -     ; -     ; -     
              Enxet Sur;45;43;12;27;3;1; -     ;2; -     
              Sanapana;21;17;10;5;1;1; -     ;2;2
              Angaite;42;37;10;24;1;1;1;3;2
              Guana;2;2; -     ;2; -     ; -     ; -     ; -     ; -     
              Toba Maskoy / Toba Enenlhet;8;7; -     ;6; -     ;1; -     ;1; -     
       Mataco - Mataguayo;73;73;41;22;5;1;4; -     ; -     
              Nivacle;67;67;40;20;2;1;4; -     ; -     
              Maka;4;4; -     ;1;3; -     ; -     ; -     ; -     
              Manjui;2;2;1;1; -     ; -     ; -     ; -     ; -     
       Zamuco;35;28;4;16;5;3; -     ;3;4
              Ayoreo;26;21;3;11;4;3; -     ;1;4
              Ybytoso;8;7;1;5;1; -     ; -     ;1; -     
              Tomaraho;1; -     ; -     ; -     ; -     ; -     ; -     ;1; -     
       Guaicuru;13;13;2;10; -     ;1; -     ; -     ; -     
              Qom;13;13;2;10; -     ;1; -     ; -     ; -     
       Region Oriental ;471;440;184;211;28;8;9;26;5
       Region Occidental ;318;300;101;152;17;25;5;10;8
