Familia linguistica y pueblo indigena; Total de comunidades, aldeas o barrios ;Quien realiza principalmente los partos - Partera indigena;Quien realiza principalmente los partos - Licenciada en enfermeria u Obstetra;Quien realiza principalmente los partos - Medico;Quien realiza principalmente los partos - Promotor indigena;Quien realiza principalmente los partos - Agente comunitario de salud;Quien realiza principalmente los partos - Otro;Quien realiza principalmente los partos - No Reportado
Total;789;362;293;63;16;10;30;15
       Guarani;506;225;194;41;8;7;24;7
              Ache;6;2;3; -     ;1; -     ; -     ; -     
              Ava Guarani;175;57;70;25;3;1;15;4
              Mbya Guarani;205;119;65;8;1;4;7;1
              Pai Tavytera;73;42;23;4;2;1;1; -     
              Guarani Occidental / Pueblo Guarani;27;3;22; -     ; -     ; -     ;1;1
              Guarani Nandeva;20;2;11;4;1;1; -     ;1
       Lengua Maskoy;162;82;52;12;5;3;4;4
              Enlhet Norte;44;26;9;2;4;2; -     ;1
              Enxet Sur;45;22;17;3;1; -     ;2; -     
              Sanapana;21;11;1;5; -     ; -     ;2;2
              Angaite;42;23;16;2; -     ; -     ; -     ;1
              Guana;2; -     ;2; -     ; -     ; -     ; -     ; -     
              Toba Maskoy / Toba Enenlhet;8; -     ;7; -     ; -     ;1; -     ; -     
       Mataco - Mataguayo;73;47;20;5;1; -     ; -     ; -     
              Nivacle;67;46;18;2;1; -     ; -     ; -     
              Maka;4; -     ;1;3; -     ; -     ; -     ; -     
              Manjui;2;1;1; -     ; -     ; -     ; -     ; -     
       Zamuco;35;6;19;3;2; -     ;2;3
              Ayoreo;26;4;14;2;2; -     ;1;3
              Ybytoso;8;1;5;1; -     ; -     ;1; -     
              Tomaraho;1;1; -     ; -     ; -     ; -     ; -     ; -     
       Guaicuru;13;2;8;2; -     ; -     ; -     ;1
              Qom;13;2;8;2; -     ; -     ; -     ;1
       Region Oriental ;471;222;166;40;7;6;25;5
       Region Occidental ;318;140;127;23;9;4;5;10
