Familia linguistica y pueblo indigena; Total de comunidades, aldeas o barrios ;Lugar donde se atiende la mayoria de los partos - Casa;Lugar donde se atiende la mayoria de los partos - Sede de USF;Lugar donde se atiende la mayoria de los partos - Centro de salud;Lugar donde se atiende la mayoria de los partos - Hospital;Lugar donde se atiende la mayoria de los partos - Otro;Lugar donde se atiende la mayoria de los partos - No reportado
Total;789;315;52;180;230;4;8
        Guarani;506;218;34;92;156;1;5
              Ache;6;3; -     ;1;2; -     ; -     
              Ava Guarani;175;54;12;48;57; -     ;4
              Mbya Guarani;205;116;8;29;50;1;1
              Pai Tavytera;73;38;6;11;18; -     ; -     
              Guarani Occidental / Pueblo Guarani;27;4;6;1;16; -     ; -     
              Guarani Nandeva;20;3;2;2;13; -     ; -     
        Lengua Maskoy;162;62;11;47;39;2;1
              Enlhet Norte;44;12;1;13;17;1; -     
              Enxet Sur;45;20;1;10;13;1; -     
              Sanapana;21;7; -     ;9;4; -     ;1
              Angaite;42;23;4;11;4; -     ; -     
              Guana;2; -     ; -     ;2; -     ; -     ; -     
              Toba Maskoy / Toba Enenlhet;8; -     ;5;2;1; -     ; -     
        Mataco - Mataguayo;73;27;2;29;14;1; -     
              Nivacle;67;26;2;28;10;1; -     
              Maka;4; -     ; -     ;1;3; -     ; -     
              Manjui;2;1; -     ; -     ;1; -     ; -     
              Zamuco;35;6;4;10;13; -     ;2
              Ayoreo;26;4;4;9;7; -     ;2
              Ybytoso;8;1; -     ;1;6; -     ; -     
              Tomaraho;1;1; -     ; -     ; -     ; -     ; -     
        Guaicuru;13;2;1;2;8; -     ; -     
              Qom;13;2;1;2;8; -     ; -     
        Region Oriental ;471;214;26;91;134;1;5
        Region Occidental ;318;101;26;89;96;3;3
