Familia linguistica y pueblo indignea;Total de comunidades, aldeas o barrios;Practican la curacion indigena - Si, se practica;Practican la curacion indigena - No se practica;Practican la curacion indigena - No reportado
Total;789;560;227;2
         Guarani;506;381;124;1
              Ache;6;1;5; -     
              Ava Guarani;175;134;41; -     
              Mbya Guarani;205;156;48;1
              Pa? Tavytera;73;59;14; -     
              Guarani Occidental / Pueblo Guarani;27;24;3; -     
              Guarani Nandeva;20;7;13; -     
         Lengua Maskoy;162;110;52; -     
              Enlhet Norte;44;22;22; -     
              Enxet Sur;45;35;10; -     
              Sanapana;21;15;6; -     
              Angaite;42;32;10; -     
              Guana;2;1;1; -     
              Toba Maskoy / Toba Enenlhet;8;5;3; -     
         Mataco - Mataguayo;73;40;33; -     
              Nivacle;67;40;27; -     
              Maka;4; -     ;4; -     
              Manjui;2; -     ;2; -     
         Zamuco;35;17;17;1
              Ayoreo;26;12;13;1
              Ybytoso;8;4;4; -     
              Tomaraho;1;1; -     ; -     
         Guaicuru;13;12;1; -     
              Qom;13;12;1; -     
         Region Oriental ;471;355;115;1
         Region Occidental ;318;205;112;1
