Familia linguistica y pueblo indignea;Total de comunidades, aldeas o barrios que practica la curacion indigena;Quienes curan - Lider religioso y/o Chaman;Quienes curan - Medico naturalista;Quienes curan - Anciano;Quienes curan - Otras personas;Quienes curan - No reportado;Como curan - Con rezo, canto y/o sueno;Como curan - Con hierbas medicinales;Como curan - Con succion, soplo y/o friccion;Como curan - Con partes de animales;Como curan - Con humo;Como curan - Otro;Como curan - No reportado
Total;560;341;196;210;40;18;220;436;88;;107;25;8
       Guarani;381;247;145;147;21;9;158;301;56;39;102;15;5
            Ache;1;1; -     ; -     ; -     ; -     ;1; -     ; -     ; -     ; -     ; -     ; -     
            Ava Guarani;134;74;54;58;4;5;40;118;16;3;18;7;3
            Mbya Guarani;156;112;56;55;6;3;64;119;19;10;74;4;1
            Pai Tavytera;59;45;22;22;6;1;43;44;6;19;6;3;1
            Guarani Occidental / Pueblo Guarani;24;11;12;8;3; -     ;5;18;13;7;3;1; -     
            Guarani Nandeva;7;4;1;4;2; -     ;5;2;2; -     ;1; -     ; -     
       Lengua Maskoy;110;60;24;46;4;5;40;77;15;8;1;7;3
            Enlhet Norte;22;15;3;4;2;4;11;8;6; -     ; -     ;4;2
            Enxet Sur;35;20;9;16;1; -     ;17;25;1;2; -     ;1; -     
            Sanapana;15;8;1;6;1; -     ;1;13; -     ;1;1;2; -     
            Angaite;32;12;11;18; -     ; -     ;8;26;8;5; -     ; -     ; -     
            Guana;1; -     ; -     ; -     ; -     ;1; -     ; -     ; -     ; -     ; -     ; -     ;1
            Toba Maskoy / Toba Enenlhet;5;5; -     ;2; -     ; -     ;3;5; -     ; -     ; -     ; -     ; -     
       Mataco - Mataguayo;40;18;14;10;10;1;12;37;4;4;1;1; -     
            Nivacle;40;18;14;10;10;1;12;37;4;4;1;1; -     
            Maka; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
            Manjui; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
       Zamuco;17;9;8;2;4;3;6;11;10;2;1;1; -     
            Ayoreo;12;6;5;1;3;3;4;7;8;1; -     ;1; -     
            Ybytoso;4;2;3;1;1; -     ;2;3;2; -     ;1; -     ; -     
            Tomaraho;1;1; -     ; -     ; -     ; -     ; -     ;1; -     ;1; -     ; -     ; -     
       Guaicuru;12;7;5;5;1; -     ;4;10;3;2;2;1; -     
            Qom;12;7;5;5;1; -     ;4;10;3;2;2;1; -     
       Region Oriental ;355;234;133;138;16;9;150;285;41;33;98;14;5
       Region Occidental ;205;107;63;72;24;9;70;151;47;22;9;11;3
