Familia linguistica y pueblo indigena; Total de comunidades, aldeas o barrios ; Cuenta con un local escolar y esta reconocido por el MEC  -  Si, reconocido por el MEC ; Cuenta con un local escolar y esta reconocido por el MEC  -  Si, pero no reconocido por el MEC ; Cuenta con un local escolar y esta reconocido por el MEC  -  No cuenta con local escolar ; Cuenta con un local escolar y esta reconocido por el MEC  -  No reportado 
Total;789;540;25;217;7
        Guarani;506;356;15;130;5
              Ache;6;6; -     ; -     ; -     
              Ava Guarani;175;133;2;39;1
              Mbya Guarani;205;141;8;52;4
              Pai Tavytera;73;53;3;17; -     
              Guarani Occidental / Pueblo Guarani;27;11; -     ;16; -     
              Guarani Nandeva;20;12;2;6; -     
        Lengua Maskoy;162;110;5;46;1
              Enlhet Norte;44;30; -     ;14; -     
              Enxet Sur;45;29;3;13; -     
              Sanapana;21;15; -     ;6; -     
              Angaite;42;29;1;12; -     
              Guana;2;2; -     ; -     ; -     
              Toba Maskoy / Toba Enenlhet;8;5;1;1;1
        Mataco - Mataguayo;73;41;3;28;1
              Nivacle;67;36;3;27;1
              Maka;4;4; -     ; -     ; -     
              Manjui;2;1; -     ;1; -     
        Zamuco;35;23;2;10; -     
              Ayoreo;26;16;2;8; -     
              Ybytoso;8;6; -     ;2; -     
              Tomaraho;1;1; -     ; -     ; -     
        Guaicuru;13;10; -     ;3; -     
              Qom;13;10; -     ;3; -     
        Region Oriental ;471;343;13;110;5
        Region Occidental ;318;197;12;107;2
