Familia linguistica y pueblo indigena;Total de comunidades, aldeas o barrios  que cuentan con un local escolar;Quien hizo construir la escuela - Gobierno (local, departamental, nacional);Quien hizo construir la escuela - ONG o fundacion;Quien hizo construir la escuela - Empresa o  estancia;Quien hizo construir la escuela - Iglesia;Quien hizo construir la escuela - Persona fisica;Quien hizo construir la escuela - Otro;Quien hizo construir la escuela - No sabe;Quien hizo construir la escuela - No reportado
Total;570;438;34;8;29;13;32;9;7
         Guarani;375;297;16;5;19;9;20;7;2
                Ache;6;5; -     ; -     ;1; -     ; -     ; -     ; -     
                Ava Guarani;136;106;3;1;8;7;9;1;1
                Mbya Guarani;152;122;11;1;5; -     ;7;5;1
                Pai Tavytera;56;45;1;3;1;2;3;1; -     
                Guarani Occidental / Pueblo Guarani;11;7; -     ; -     ;4; -     ; -     ; -     ; -     
                Guarani Nandeva;14;12;1; -     ; -     ; -     ;1; -     ; -     
         Lengua Maskoy;116;86;13;2;6;2;4;1;2
                Enlhet Norte;30;22;4; -     ; -     ;1;2;1; -     
                Enxet Sur;32;23;5; -     ;3;1; -     ; -     ; -     
                Sanapana;15;15; -     ; -     ; -     ; -     ; -     ; -     ; -     
                Angaite;30;22;2; -     ;2; -     ;2; -     ;2
                Guana;2;1; -     ;1; -     ; -     ; -     ; -     ; -     
                Toba Maskoy / Toba Enenlhet;7;3;2;1;1; -     ; -     ; -     ; -     
         Mataco - Mataguayo;44;31;2;1;2;2;4; -     ;2
                Nivacle;39;27;2;1;2;2;3; -     ;2
                Maka;4;3; -     ; -     ; -     ; -     ;1; -     ; -     
                Manjui;1;1; -     ; -     ; -     ; -     ; -     ; -     ; -     
         Zamuco;25;18;2; -     ; -     ; -     ;3;1;1
                Ayoreo;18;13;2; -     ; -     ; -     ;1;1;1
                Ybytoso;6;4; -     ; -     ; -     ; -     ;2; -     ; -     
                Tomaraho;1;1; -     ; -     ; -     ; -     ; -     ; -     ; -     
         Guaicuru;10;6;1; -     ;2; -     ;1; -     ; -     
                Qom;10;6;1; -     ;2; -     ;1; -     ; -     
         Region Oriental ;360;286;15;6;15;9;20;7;2
         Region Occidental ;210;152;19;2;14;4;12;2;5
