Familia linguistica y pueblo indigena;Total de comunidades,  aldeas o barrios que cuentan con un local escolar;Tienen algun problema de infraestructura escolar - Si ;Tienen algun problema de infraestructura escolar - No ;Tienen algun problema de infraestructura escolar - No reportado
Total;570;475;86;9
       Guarani;375;303;67;5
               Ache;6;6; -     ; -     
               Ava Guarani;136;113;22;1
               Mbya Guarani;152;111;38;3
               Pai Tavytera;56;49;6;1
               Guarani Occidental / Pueblo Guarani;11;10;1; -     
               Guarani Nandeva;14;14; -     ; -     
       Lengua Maskoy;116;104;8;4
               Enlhet Norte;30;26;1;3
               Enxet Sur;32;29;3; -     
               Sanapana;15;13;2; -     
               Angaite;30;29;1; -     
               Guana;2;1;1; -     
               Toba Maskoy / Toba Enenlhet;7;6; -     ;1
       Mataco - Mataguayo;44;36;8; -     
               Nivacle;39;32;7; -     
               Maka;4;3;1; -     
               Manjui;1;1; -     ; -     
       Zamuco;25;24;1; -     
               Ayoreo;18;18; -     ; -     
               Ybytoso;6;5;1; -     
               Tomaraho;1;1; -     ; -     
       Guaicuru;10;8;2; -     
               Qom;10;8;2; -     
       Region Oriental ;360;286;69;5
       Region Occidental ;210;189;17;4
