Familia linguistica y pueblo indigena;Total de comunidades,  aldeas o barrios que tienen algun problema de infraestructura del local escolar ;La infraestructura escolar tiene algunos de estos problemas - Ventilacion inadecuada;La infraestructura escolar tiene algunos de estos problemas - Pared, techo o  pisos precarios;La infraestructura escolar tiene algunos de estos problemas - Faltan mas aulas;La infraestructura escolar tiene algunos de estos problemas - Falta de agua;La infraestructura escolar tiene algunos de estos problemas - Falta de mobiliario;La infraestructura escolar tiene algunos de estos problemas - Falta de libros;La infraestructura escolar tiene algunos de estos problemas - Instalacion sanitaria deficiente;La infraestructura escolar tiene algunos de estos problemas - Falta de energia electrica;La infraestructura escolar tiene algunos de estos problemas - Otro
Total;475;182;167;284;169;213;149;182;118;31
        Guarani;303;112;117;187;106;145;105;124;87;23
              Ache;6;2;2;3;2;5;3;2;1; -     
              Ava Guarani;113;46;48;80;31;64;47;44;26;8
              Mbya Guarani;111;37;36;66;41;47;32;40;36;10
              Pai Tavytera;49;19;22;23;25;22;12;24;19;3
              Guarani Occidental / Pueblo Guarani;10;3;6;7;2;4;6;6;3;2
              Guarani Nandeva;14;5;3;8;5;3;5;8;2; -     
        Lengua Maskoy;104;42;29;60;35;36;23;37;18;1
              Enlhet Norte;26;12;3;18;6;4;2;2; -     ; -     
              Enxet Sur;29;12;14;17;15;16;9;14;14; -     
              Sanapana;13;6;5;6;6;4;3;6;2; -     
              Angaite;29;10;4;16;8;11;7;11;2; -     
              Guana;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1
              Toba Maskoy / Toba Enenlhet;6;2;3;3; -     ;1;2;4; -     ; -     
        Mataco - Mataguayo;36;12;6;18;15;16;8;9;8;3
              Nivacle;32;9;4;17;14;14;8;8;7;3
              Maka;3;2;2;1;1;2; -     ;1; -     ; -     
              Manjui;1;1; -     ; -     ; -     ; -     ; -     ; -     ;1; -     
        Zamuco;24;14;10;14;10;11;9;10;3;4
              Ayoreo;18;10;8;10;8;7;6;9;1;4
              Ybytoso;5;3;1;3;1;3;2; -     ;2; -     
              Tomaraho;1;1;1;1;1;1;1;1; -     ; -     
        Guaicuru;8;2;5;5;3;5;4;2;2; -     
              Qom;8;2;5;5;3;5;4;2;2; -     
        Region Oriental ;286;108;113;176;100;143;96;113;82;22
        Region Occidental ;189;74;54;108;69;70;53;69;36;9
