Familia linguistica y pueblo indigena; Total de comunidades, aldeas o barrios ;Ensena algun maestro -Si ensena;Ensena algun maestro -No ensena 
Total;789;581;208
         Guarani;506;384;122
                 Ache;6;6; -     
                 Ava Guarani;175;144;31
                 Mbya Guarani;205;152;53
                 Pai Tavytera;73;57;16
                 Guarani Occidental / Pueblo Guarani;27;11;16
                 Guarani Nandeva;20;14;6
         Lengua Maskoy;162;116;46
                 Enlhet Norte;44;28;16
                 Enxet Sur;45;33;12
                 Sanapana;21;13;8
                 Angaite;42;33;9
                 Guana;2;2; -     
                 Toba Maskoy / Toba Enenlhet;8;7;1
         Mataco - Mataguayo;73;46;27
                 Nivacle;67;41;26
                 Maka;4;4; -     
                 Manjui;2;1;1
         Zamuco;35;24;11
                 Ayoreo;26;17;9
                 Ybytoso;8;6;2
                 Tomaraho;1;1; -     
         Guaicuru;13;11;2
                 Qom;13;11;2
         Region Oriental ;471;369;102
         Region Occidental ;318;212;106
