Familia linguistica y pueblo indigena;Total de comunidades,  aldeas o barrios que cuentan con la ensenanza de algun maestro;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) - Total;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) -  1er;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) -  2do;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) -  3ro;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) -  4to;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) -  5to;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) -  6to ;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) - Total;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) -  7mo;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) -  8vo ;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) -  9no ;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) - Total;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) -  1ro;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) -  2do;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo) -  3ro;Hasta que grado se ensena - Educacion Escolar Basica (1er y 2do Ciclo)
Total;581;370;6;9;23;16;19;297;114;16;9;89;83;12;3;68;14
     Guarani;384;252;4;2;12;11;14;209;67;12;7;48;56;9;1;46;9
           Ache;6; -     ; -     ; -     ; -     ; -     ; -     ; -     ;2; -     ; -     ;2;4; -     ; -     ;4; -     
           Ava Guarani;144;93;4;1;4;6;8;70;24;6;1;17;26;4;1;21;1
           Mbya Guarani;152;102; -     ; -     ;5;3;3;91;30;5;5;20;14;4; -     ;10;6
           Pai Tavytera;57;38; -     ;1; -     ;2;1;34;8;1;1;6;9;1; -     ;8;2
           Guarani Occidental / Pueblo Guarani;11;7; -     ; -     ; -     ; -     ; -     ;7;1; -     ; -     ;1;3; -     ; -     ;3; -     
           Guarani Nandeva;14;12; -     ; -     ;3; -     ;2;7;2; -     ; -     ;2; -     ; -     ; -     ; -     ; -     
     Lengua Maskoy;116;70;2;5;4;3;1;55;30;4;1;25;16;3;2;11; -     
           Enlhet Norte;28;11;1; -     ;3;3; -     ;4;9; -     ; -     ;9;8;2; -     ;6; -     
           Enxet Sur;33;19; -     ;1;1; -     ; -     ;17;13;2;1;10;1; -     ; -     ;1; -     
           Sanapana;13;8; -     ;3; -     ; -     ; -     ;5;2;1; -     ;1;3; -     ; -     ;3; -     
           Angaite;33;27;1;1; -     ; -     ;1;24;3;1; -     ;2;3;1;2; -     ; -     
           Guana;2;1; -     ; -     ; -     ; -     ; -     ;1; -     ; -     ; -     ; -     ;1; -     ; -     ;1; -     
           Toba Maskoy / Toba Enenlhet;7;4; -     ; -     ; -     ; -     ; -     ;4;3; -     ; -     ;3; -     ; -     ; -     ; -     ; -     
     Mataco - Mataguayo;46;28; -     ; -     ;4;1;3;20;10; -     ;1;9;5; -     ; -     ;5;3
           Nivacle;41;25; -     ; -     ;3;1;3;18;9; -     ;1;8;4; -     ; -     ;4;3
           Maka;4;2; -     ; -     ; -     ; -     ; -     ;2;1; -     ; -     ;1;1; -     ; -     ;1; -     
           Manjui;1;1; -     ; -     ;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
     Zamuco;24;17; -     ;2;3;1;1;10;4; -     ; -     ;4;1; -     ; -     ;1;2
           Ayoreo;17;15; -     ;2;3;1;1;8; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;2
           Ybytoso;6;1; -     ; -     ; -     ; -     ; -     ;1;4; -     ; -     ;4;1; -     ; -     ;1; -     
           Tomaraho;1;1; -     ; -     ; -     ; -     ; -     ;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
     Guaicuru;11;3; -     ; -     ; -     ; -     ; -     ;3;3; -     ; -     ;3;5; -     ; -     ;5; -     
           Qom;11;3; -     ; -     ; -     ; -     ; -     ;3;3; -     ; -     ;3;5; -     ; -     ;5; -     
     Region Oriental ;369;239;4;2;9;11;12;201;65;12;7;46;56;9;1;46;9
     Region Occidental ;212;131;2;7;14;5;7;96;49;4;2;43;27;3;2;22;5
