Familia linguistica y pueblo indigena;Cuenta con algun misionero religioso - Total de comunidades, aldeas o barrios;Cuenta con algun misionero religioso - Si, cuenta con misionero - Si y es Indigena;Cuenta con algun misionero religioso - Si, cuenta con misionero - Si y es no indigena;Cuenta con algun misionero religioso - Si, cuenta con misionero - No reportado;Cuenta con algun misionero religioso - No cuenta con ningun misionero;Cuenta con algun misionero religioso - No reportado
Total;789;78;216;5;484;6
     Guarani;506;33;82;1;389;1
           Ache;6;1;1; -     ;4; -     
           Ava Guarani;175;17;23;1;134; -     
           Mbya Guarani;205;8;26; -     ;170;1
           Pai Tavytera;73;3;11; -     ;59; -     
           Guarani Occidental / Pueblo Guarani;27;2;15; -     ;10; -     
           Guarani Nandeva;20;2;6; -     ;12; -     
     Lengua Maskoy;162;36;80;4;40;2
           Enlhet Norte;44;10;27; -     ;7; -     
           Enxet Sur;45;11;14; -     ;18;2
           Sanapana;21;7;11;1;2; -     
           Angaite;42;8;21;3;10; -     
           Guana;2; -     ;1; -     ;1; -     
           Toba Maskoy / Toba Enenlhet;8; -     ;6; -     ;2; -     
     Mataco - Mataguayo;73;8;36; -     ;28;1
           Nivacle;67;8;35; -     ;23;1
           Maka;4; -     ; -     ; -     ;4; -     
           Manjui;2; -     ;1; -     ;1; -     
     Zamuco;35; -     ;15; -     ;18;2
           Ayoreo;26; -     ;12; -     ;12;2
           Ybytoso;8; -     ;2; -     ;6; -     
           Tomaraho;1; -     ;1; -     ; -     ; -     
     Guaicuru;13;1;3; -     ;9; -     
           Qom;13;1;3; -     ;9; -     
     Region Oriental ;471;29;63;1;377;1
     Region Occidental ;318;49;153;4;107;5
