Familia linguistica y pueblo indigena;Total de comunidades, aldeas o barrios que cuentan con asistencia religiosa de algun misionero;Religion del misionero - Catolica;Religion del misionero - Evangelica;Religion del misionero - Otra ;Religion del misionero - No reportado;Vive en la aldea o barrio - Si;Vive en la aldea o barrio - No;Vive en la aldea o barrio - No reportado
Total;299;73;212;10;4;77;214;8
    Guarani;116;38;68;7;3;32;82;2
          Ache;2; -     ;2; -     ; -     ;2; -     ; -     
          Ava Guarani;41;11;28;1;1;14;27; -     
          Mbya Guarani;34;8;19;6;1;8;25;1
          Pai Tavytera;14;4;9; -     ;1;3;10;1
          Guarani Occidental / Pueblo Guarani;17;15;2; -     ; -     ;4;13; -     
          Guarani Nandeva;8; -     ;8; -     ; -     ;1;7; -     
    Lengua Maskoy;120;9;109;1;1;32;85;3
          Enlhet Norte;37; -     ;37; -     ; -     ;12;24;1
          Enxet Sur;25;1;24; -     ; -     ;7;18; -     
          Sanapana;19; -     ;18;1; -     ;6;12;1
          Angaite;32;5;26; -     ;1;7;24;1
          Guana;1;1; -     ; -     ; -     ; -     ;1; -     
          Toba Maskoy / Toba Enenlhet;6;2;4; -     ; -     ; -     ;6; -     
    Mataco - Mataguayo;44;18;24;2; -     ;11;31;2
          Nivacle;43;18;23;2; -     ;11;30;2
          Maka; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
          Manjui;1; -     ;1; -     ; -     ; -     ;1; -     
    Zamuco;15;8;7; -     ; -     ;1;13;1
          Ayoreo;12;5;7; -     ; -     ;1;10;1
          Ybytoso;2;2; -     ; -     ; -     ; -     ;2; -     
          Tomaraho;1;1; -     ; -     ; -     ; -     ;1; -     
    Guaicuru;4; -     ;4; -     ; -     ;1;3; -     
          Qom;4; -     ;4; -     ; -     ;1;3; -     
    Region Oriental ;93;23;60;7;3;28;63;2
    Region Occidental ;206;50;152;3;1;49;151;6
