Familia linguistica y pueblo indigena;Total de comunidades, aldeas o barrios;Las personas de esta aldea o barrio practican la caza y/o pesca - Si practican;Las personas de esta aldea o barrio practican la caza y/o pesca - No practican;Las personas de esta aldea o barrio practican la caza y/o pesca - No reportado
Total;789;704;75;10
    Guarani;506;449;55;2
           Ache;6;6; -     ; -     
           Ava Guarani;175;165;10; -     
           Mbya Guarani;205;173;30;2
           Pai Tavytera;73;71;2; -     
           Guarani Occidental / Pueblo Guarani;27;21;6; -     
           Guarani Nandeva;20;13;7; -     
    Lengua Maskoy;162;149;9;4
           Enlhet Norte;44;39;5; -     
           Enxet Sur;45;43; -     ;2
           Sanapana;21;21; -     ; -     
           Angaite;42;37;3;2
           Guana;2;2; -     ; -     
           Toba Maskoy / Toba Enenlhet;8;7;1; -     
    Mataco - Mataguayo;73;65;6;2
           Nivacle;67;62;3;2
           Maka;4;2;2; -     
           Manjui;2;1;1; -     
    Zamuco;35;29;4;2
           Ayoreo;26;22;2;2
           Ybytoso;8;6;2; -     
           Tomaraho;1;1; -     ; -     
    Guaicuru;13;12;1; -     
           Qom;13;12;1; -     
    Region Oriental ;471;421;48;2
    Region Occidental ;318;283;27;8
           ;;;;
