Familia linguistica y pueblo indigena;Total de comunidades, aldeas o barrios que practican la caza y/o pesca;Animales que cazaron y/o pescaron en los ultimos seis meses -  Carpincho ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Armadillo ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Cerdo Silvestre  ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Conejillo ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Conejo ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Peces ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Cocodrilo ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Lagarto ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Aves Silvestres ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Venado ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Avestruz ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Coati ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Tortuga ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Tapir ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Tigre ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Oso hormiguero ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Mono ;Animales que cazaron y/o pescaron en los ultimos seis meses -  Otro ;Animales que cazaron y/o pescaron en los ultimos seis meses -  No reportado 
Total;704;206;515;280;83;84;497;132;314;233;313;113;213;59;103;25;89;109;39;3
       Guarani;449;83;356;119;70;66;347;20;218;129;132;20;165;12;33;12;33;101;19;2
             Ache;6; -     ;6;2;1; -     ;6; -     ;5;3;3; -     ;5; -     ;1; -     ; -     ;5; -     ; -     
             Ava Guarani;165;32;139;33;25;20;138;6;69;48;33;2;58;4;6;5; -     ;37;3; -     
             Mbya Guarani;173;22;132;12;23;19;132;3;85;39;22;1;62;2;2;1;12;34;11;1
             Pai Tavytera;71;25;63;45;17;16;59;11;53;23;45;15;39;6;17;6;19;25;4; -     
             Guarani Occidental / Pueblo Guarani;21;3;13;18;4;10;12; -     ;6;14;19;1;1; -     ;2; -     ;1; -     ;1; -     
             Guarani Nandeva;13;1;3;9; -     ;1; -     ; -     ; -     ;2;10;1; -     ; -     ;5; -     ;1; -     ; -     ;1
       Lengua Maskoy;149;90;104;97;8;10;107;94;77;63;110;66;43;25;49;10;34;7;3; -     
             Enlhet Norte;39;24;27;15;3;4;16;11;15;20;30;15;1;3;6; -     ;7; -     ;1; -     
             Enxet Sur;43;25;31;33;3;3;40;34;27;16;31;21;19;4;17;4;11;1;1; -     
             Sanapana;21;11;17;16;1;2;16;14;11;10;14;16;7;7;7;2;3;1; -     ; -     
             Angaite;37;22;23;27; -     ; -     ;30;28;21;12;27;11;14;8;13;3;10;2;1; -     
             Toba Maskoy / Toba Enenlhet;7;6;5;5;1;1;3;6;2;5;6;2;1;2;4;1;2;2; -     ; -     
             Guana;2;2;1;1; -     ; -     ;2;1;1; -     ;2;1;1;1;2; -     ;1;1; -     ; -     
       Mataco - Mataguayo;65;16;36;34;4;7;23;6;15;28;37;16;1;2;16; -     ;9; -     ;13;1
             Nivacle;62;16;35;33;3;6;21;6;14;27;36;14;1;1;15; -     ;8; -     ;12;1
             Maka;2; -     ; -     ; -     ; -     ; -     ;2; -     ; -     ; -     ; -     ;1; -     ; -     ; -     ; -     ; -     ; -     ;1; -     
             Manjui;1; -     ;1;1;1;1; -     ; -     ;1;1;1;1; -     ;1;1; -     ;1; -     ; -     ; -     
       Zamuco;29;10;12;25; -     ; -     ;10;7; -     ;7;25;2; -     ;19;2;2;10; -     ;3; -     
             Ayoreo;22;4;8;20; -     ; -     ;3;1; -     ;5;19; -     ; -     ;19;1; -     ;10; -     ;2; -     
             Ybytoso;6;5;3;4; -     ; -     ;6;5; -     ;2;5;1; -     ; -     ;1;1; -     ; -     ;1; -     
             Tomaraho;1;1;1;1; -     ; -     ;1;1; -     ; -     ;1;1; -     ; -     ; -     ;1; -     ; -     ; -     ; -     
       Guaicuru;12;7;7;5;1;1;10;5;4;6;9;9;4;1;3;1;3;1;1; -     
             Qom;12;7;7;5;1;1;10;5;4;6;9;9;4;1;3;1;3;1;1; -     
       Region Oriental ;421;81;344;94;66;55;341;22;214;115;106;19;167;12;28;13;32;101;19;1
       Region Occidental ;283;125;171;186;17;29;156;110;100;118;207;94;46;47;75;12;57;8;20;2
