Familia linguistica y pueblo indigena;Total de comunidades,  aldeas o barrios ;Las personas de esta aldea o barrio recolectan alimentos del bosque, campo u otros lugares - Si recolectan;Las personas de esta aldea o barrio recolectan alimentos del bosque, campo u otros lugares - No recolectan;Las personas de esta aldea o barrio recolectan alimentos del bosque, campo u otros lugares - No reportado
Total;789;661;115;13
     Guarani;506;404;100;2
          Ache;6;6; -     ; -     
          Ava Guarani;175;137;38; -     
          Mbya Guarani;205;157;46;2
          Pai Tavytera;73;67;6; -     
          Guarani Occidental / Pueblo Guarani;27;21;6; -     
          Guarani Nandeva;20;16;4; -     
     Lengua Maskoy;162;148;7;7
          Enlhet Norte;44;44; -     ; -     
          Enxet Sur;45;43; -     ;2
          Sanapana;21;20;1; -     
          Angaite;42;32;6;4
          Guana;2;1; -     ;1
          Toba Maskoy / Toba Enenlhet;8;8; -     ; -     
     Mataco - Mataguayo;73;67;5;1
          Nivacle;67;64;2;1
          Maka;4;1;3; -     
          Manjui;2;2; -     ; -     
     Zamuco;35;29;3;3
          Ayoreo;26;23; -     ;3
          Ybytoso;8;5;3; -     
          Tomaraho;1;1; -     ; -     
     Guaicuru;13;13; -     ; -     
          Qom;13;13; -     ; -     
     Region Oriental ;471;373;96;2
     Region Occidental ;318;288;19;11
