Familia linguistica y pueblo indigena;Total de comunidades, aldeas o barrios que recolectan alimentos del bosque, campo u otros lugares;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Cogollo de palma ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Algarrobo ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Tuna ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Coco ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Jata'i ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Nangapiry ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Jakarati'a ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Guembe ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Miel silvestre ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Guavira ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Yvaviju ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Pakuri ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Ky'i (Picante) ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Poroto del monte ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - Otro ;Alimentos que recolectaron para comer del bosque, campo u otros lugares en los ultimos seis meses - No reportado 
Total;661;125;219;172;174;130;79;119;138;487;263;123;141;122;193;49;2
     Guarani;404;41;29;34;137;92;68;114;134;284;256;118;136;39;46;31;2
          Ache;6;6; -     ; -     ;1;1;1;1;6;5;4;2;3; -     ; -     ; -     ; -     
          Ava Guarani;137;5; -     ;1;58;51;24;30;34;93;95;31;51;3;10;9;1
          Mbya Guarani;157;25; -     ;3;43;24;25;48;66;105;98;56;45;4;7;18; -     
          Pai Tavytera;67;5;1;11;34;15;17;34;27;55;58;28;36;12;15;3;1
          Guarani Occidental / Pueblo Guarani;21; -     ;16;7;1; -     ;1;1;1;18;1;1;1;7;6;1; -     
          Guarani Nandeva;16; -     ;12;12; -     ;1; -     ; -     ; -     ;8; -     ; -     ; -     ;13;8; -     ; -     
     Lengua Maskoy;148;66;127;71;28;27;9;4;1;121;5;4;3;27;87;3; -     
          Enlhet Norte;44;3;41;16; -     ; -     ; -     ;1; -     ;26;1;1;1;17;35; -     ; -     
          Enxet Sur;43;27;37;20;13;13;5;1;1;40; -     ;1;1;3;26;1; -     
          Sanapana;20;11;12;11;5;2; -     ;1; -     ;20; -     ; -     ; -     ;2;10; -     ; -     
          Angaite;32;22;29;19;9;9;3; -     ; -     ;27;1;1; -     ;4;10;2; -     
          Guana;1; -     ; -     ;1; -     ; -     ; -     ; -     ; -     ;1;1; -     ; -     ; -     ; -     ; -     ; -     
          Toba Maskoy / Toba Enenlhet;8;3;8;4;1;3;1;1; -     ;7;2;1;1;1;6; -     ; -     
     Mataco - Mataguayo;67;1;51;41; -     ;2; -     ;1; -     ;45;1; -     ; -     ;36;40;12; -     
          Nivacle;64;1;49;39; -     ;2; -     ;1; -     ;42;1; -     ; -     ;35;40;10; -     
          Maka;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1; -     ; -     ; -     ; -     ; -     ;1; -     
          Manjui;2; -     ;2;2; -     ; -     ; -     ; -     ; -     ;2; -     ; -     ; -     ;1; -     ;1; -     
     Zamuco;29;10;3;19;3;8; -     ; -     ;3;25;1; -     ;1;20;19;3; -     
          Ayoreo;23;4; -     ;17;2;4; -     ; -     ;1;19; -     ; -     ; -     ;20;14;1; -     
          Ybytoso;5;5;3;2;1;3; -     ; -     ;2;5;1; -     ;1; -     ;4;2; -     
          Tomaraho;1;1; -     ; -     ; -     ;1; -     ; -     ; -     ;1; -     ; -     ; -     ; -     ;1; -     ; -     
     Guaicuru;13;7;9;7;6;1;2; -     ; -     ;12; -     ;1;1; -     ;1; -     ; -     
          Qom;13;7;9;7;6;1;2; -     ; -     ;12; -     ;1;1; -     ;1; -     ; -     
     Region Oriental ;373;43;2;17;139;92;68;114;134;264;258;118;136;20;32;31;2
     Region Occidental ;288;82;217;155;35;38;11;5;4;223;5;5;5;102;161;18; -     
