Familia linguistica y pueblo indigena;Total de comunidades,  aldeas o barrios ;Las personas de esta aldea o barrio hacen artesania - Si, hacen artesania;Las personas de esta aldea o barrio hacen artesania - Quienes se dedican principalmente a la elaboracion de artesania - Varones;Las personas de esta aldea o barrio hacen artesania - Quienes se dedican principalmente a la elaboracion de artesania - Mujeres;Las personas de esta aldea o barrio hacen artesania - Quienes se dedican principalmente a la elaboracion de artesania - Ninos y/o ninas;Las personas de esta aldea o barrio hacen artesania - Quienes se dedican principalmente a la elaboracion de artesania - No reportado;Las personas de esta aldea o barrio hacen artesania - No hacen artesania;Las personas de esta aldea o barrio hacen artesania - No reportado
Total;789;528;144;379;2;3;254;7
     Guarani;506;285;136;146;2;1;220;1
           Ache;6;6;3;3; -     ; -     ; -     ; -     
           Ava Guarani;175;84;46;37;1; -     ;91; -     
           Mbya Guarani;205;121;67;52;1;1;83;1
           Pai Tavytera;73;48;19;29; -     ; -     ;25; -     
           Guarani Occidental / Pueblo Guarani;27;21;1;20; -     ; -     ;6; -     
           Guarani Nandeva;20;5; -     ;5; -     ; -     ;15; -     
     Lengua Maskoy;162;139;2;135; -     ;2;19;4
           Enlhet Norte;44;42; -     ;41; -     ;1;2; -     
           Enxet Sur;45;37;1;36; -     ; -     ;6;2
           Sanapana;21;19; -     ;18; -     ;1;2; -     
           Angaite;42;32; -     ;32; -     ; -     ;8;2
           Guana;2;2;1;1; -     ; -     ; -     ; -     
           Toba Maskoy / Toba Enenlhet;8;7; -     ;7; -     ; -     ;1; -     
     Mataco - Mataguayo;73;57;5;52; -     ; -     ;15;1
           Nivacle;67;52;5;47; -     ; -     ;14;1
           Maka;4;4; -     ;4; -     ; -     ; -     ; -     
           Manjui;2;1; -     ;1; -     ; -     ;1; -     
     Zamuco;35;34;1;33; -     ; -     ; -     ;1
           Ayoreo;26;25;1;24; -     ; -     ; -     ;1
           Ybytoso;8;8; -     ;8; -     ; -     ; -     ; -     
           Tomaraho;1;1; -     ;1; -     ; -     ; -     ; -     
     Guaicuru;13;13; -     ;13; -     ; -     ; -     ; -     
           Qom;13;13; -     ;13; -     ; -     ; -     ; -     
     Region Oriental ;471;269;135;131;2;1;201;1
     Region Occidental ;318;259;9;248; -     ;2;53;6
