Familia linguistica y pueblo indigena;Total de comunidades, aldeas o barrios elaboran hace artesanias;Materiales utilizados para la elaboracion de artesania - Lana;Materiales utilizados para la elaboracion de artesania - Algodon;Materiales utilizados para la elaboracion de artesania - Karaguata;Materiales utilizados para la elaboracion de artesania - Hoja de palma;Materiales utilizados para la elaboracion de artesania - Takuara;Materiales utilizados para la elaboracion de artesania - Takuapi;Materiales utilizados para la elaboracion de artesania - Semilla;Materiales utilizados para la elaboracion de artesania - Guembepi;Materiales utilizados para la elaboracion de artesania - Pluma;Materiales utilizados para la elaboracion de artesania - Piel  silvestre;Materiales utilizados para la elaboracion de artesania - Madera;Materiales utilizados para la elaboracion de artesania - Barro;Materiales utilizados para la elaboracion de artesania - Totora;Materiales utilizados para la elaboracion de artesania - Otro material;Materiales utilizados para la elaboracion de artesania - No reportado
Total;528;143;72;231;154;97;129;109;118;115;37;209;33;25;51;3
     Guarani;285;45;40;58;36;81;128;79;105;62;15;163;27;5;20;2
          Ache;6; -     ; -     ;1;5;1;1;1;3;3; -     ;5; -     ; -     ; -     ; -     
          Ava Guarani;84;4;7;27;8;19;24;35;20;32;2;68;13; -     ;6; -     
          Mbya Guarani;121;2;3;4;10;44;85;32;60;16;2;61;6;3;7;2
          Pai Tavytera;48;19;19;16;13;17;18;8;22;10;9;24;7;2;4; -     
          Guarani Occidental / Pueblo Guarani;21;17;11;6; -     ; -     ; -     ;3; -     ;1;2;5; -     ; -     ;2; -     
          Guarani Nandeva;5;3; -     ;4; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1; -     ;1; -     
     Lengua Maskoy;139;61;15;102;95;10; -     ;9;7;23;14;18;3;7;12;1
          Enlhet Norte;42;20;2;33;16;5; -     ;3;1;7;2;4;1;1;4;1
          Enxet Sur;37;18;4;20;32;2; -     ;3;3;3;6;5; -     ;3;5; -     
          Sanapana;19;10;3;13;11;1; -     ; -     ; -     ;3; -     ;3;1; -     ;1; -     
          Angaite;32;8;4;29;28;1; -     ;1;2;4;3;4;1;3;2; -     
          Guana;2; -     ; -     ;1;2; -     ; -     ; -     ; -     ;1;1;1; -     ; -     ; -     ; -     
          Toba Maskoy / Toba Enenlhet;7;5;2;6;6;1; -     ;2;1;5;2;1; -     ; -     ; -     ; -     
     Mataco - Mataguayo;57;27;12;38;2;1; -     ;3; -     ;9;1;12; -     ; -     ;14; -     
          Nivacle;52;23;9;37;2;1; -     ; -     ; -     ;6;1;9; -     ; -     ;11; -     
          Maka;4;3;3; -     ; -     ; -     ; -     ;3; -     ;3; -     ;3; -     ; -     ;3; -     
          Manjui;1;1; -     ;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
     Zamuco;34;3;3;28;9;5;1;10;6;16;5;14;3;1;4; -     
          Ayoreo;25;3;2;24; -     ; -     ; -     ;3; -     ;11;3;7;2; -     ;2; -     
          Ybytoso;8; -     ;1;3;8;4; -     ;6;5;4;1;6; -     ;1;2; -     
          Tomaraho;1; -     ; -     ;1;1;1;1;1;1;1;1;1;1; -     ; -     ; -     
     Guaicuru;13;7;2;5;12; -     ; -     ;8; -     ;5;2;2; -     ;12;1; -     
          Qom;13;7;2;5;12; -     ; -     ;8; -     ;5;2;2; -     ;12;1; -     
     Region Oriental ;269;29;33;49;42;82;128;79;107;65;13;161;26;8;22;2
     Region Occidental ;256;114;39;182;112;15;1;30;11;50;24;48;7;17;29;1
