Familia linguistica y pueblo indigena;Total de comunidades, aldeas o barrios que tienen animales;Esta aldea o barrio tiene animales - Si, tienen animales ;Esta aldea o barrio tiene animales - Tipos de animales que tienen en la aldea o barrio - Caballos;Esta aldea o barrio tiene animales - Tipos de animales que tienen en la aldea o barrio - Bueyes;Esta aldea o barrio tiene animales - Tipos de animales que tienen en la aldea o barrio - Mulas, burros;Esta aldea o barrio tiene animales - Tipos de animales que tienen en la aldea o barrio - Gallinas, patos, guineas;Esta aldea o barrio tiene animales - Tipos de animales que tienen en la aldea o barrio - Vacas;Esta aldea o barrio tiene animales - Tipos de animales que tienen en la aldea o barrio - Ovejas;Esta aldea o barrio tiene animales - Tipos de animales que tienen en la aldea o barrio - Cabras;Esta aldea o barrio tiene animales - Tipos de animales que tienen en la aldea o barrio - Cerdos;Esta aldea o barrio tiene animales - Tipos de animales que tienen en la aldea o barrio - Perros;Esta aldea o barrio tiene animales - Tipos de animales que tienen en la aldea o barrio - Otro;Esta aldea o barrio tiene animales - No tiene animales ;Esta aldea o barrio tiene animales - No reportado
Total;789;757;162;22;53;650;309;235;216;331;649;31;11;21
     Guarani;506;489;82;20;8;432;198;96;92;280;409;19;8;9
           Ache;6;6;3;1;2;6;6;4;2;5;6; -     ; -     ; -     
           Ava Guarani;175;170;22;10;3;156;84;31;36;130;141;6;2;3
           Mbya Guarani;205;194;10;7; -     ;167;47;6;9;79;153;5;5;6
           Pai Tavytera;73;72;39;2;1;64;46;29;19;53;66;6;1; -     
           Guarani Occidental / Pueblo Guarani;27;27;5; -     ; -     ;22;9;16;21;12;26;2; -     ; -     
           Guarani Nandeva;20;20;3; -     ;2;17;6;10;5;1;17; -     ; -     ; -     
     Lengua Maskoy;162;154;60;1;45;126;73;104;87;37;144;5;1;7
           Enlhet Norte;44;44;10;1;1;34;14;25;16;3;39;3; -     ; -     
           Enxet Sur;45;41;22; -     ;12;35;26;36;32;10;40;1; -     ;4
           Sanapana;21;21;11; -     ;7;16;11;10;10;6;20; -     ; -     ; -     
           Angaite;42;38;14; -     ;23;34;16;26;24;16;35;1;1;3
           Guana;2;2; -     ; -     ;1;1;1;1; -     ;1;2; -     ; -     ; -     
           Toba Maskoy / Toba Enenlhet;8;8;3; -     ;1;6;5;6;5;1;8; -     ; -     ; -     
     Mataco - Mataguayo;73;71;7;1; -     ;53;19;18;22;4;55;3;1;1
           Nivacle;67;66;6;1; -     ;52;18;17;21;3;51;3; -     ;1
           Maka;4;3; -     ; -     ; -     ;1; -     ; -     ; -     ;1;3; -     ;1; -     
           Manjui;2;2;1; -     ; -     ; -     ;1;1;1; -     ;1; -     ; -     ; -     
     Zamuco;35;30;10; -     ; -     ;28;14;12;11;7;29;3;1;4
           Ayoreo;26;22;8; -     ; -     ;22;10;6;5;1;21;2; -     ;4
           Ybytoso;8;7;2; -     ; -     ;5;3;5;5;5;7;1;1; -     
           Tomaraho;1;1; -     ; -     ; -     ;1;1;1;1;1;1; -     ; -     ; -     
     Guaicuru;13;13;3; -     ; -     ;11;5;5;4;3;12;1; -     ; -     
           Qom;13;13;3; -     ; -     ;11;5;5;4;3;12;1; -     ; -     
     Region Oriental ;471;452;76;20;6;400;187;71;66;270;376;17;10;9
     Region Occidental ;318;305;86;2;47;250;122;164;150;61;273;14;1;12
