Familia linguistica y pueblo indigena;Total de comunidades, aldeas o barrios;Existen personas que ensenan conocimientos y practicas ancestrales  - Si;Existen personas que ensenan conocimientos y practicas ancestrales  - No;Existen personas que ensenan conocimientos y practicas ancestrales  - No reportado
Total;789;516;146;127
     Guarani;506;347;84;75
          Ache;6;6; -     ; -     
          Ava Guarani;175;115;35;25
          Mbya Guarani;205;143;28;34
          Pai Tavytera;73;59;5;9
          Guarani Occidental / Pueblo Guarani;27;21;3;3
          Guarani Nandeva;20;3;13;4
     Lengua Maskoy;162;94;37;31
          Enlhet Norte;44;26;7;11
          Enxet Sur;45;22;17;6
          Sanapana;21;17;2;2
          Angaite;42;22;9;11
          Guana;2;2; -     ; -     
          Toba Maskoy / Toba Enenlhet;8;5;2;1
     Mataco - Mataguayo;73;41;19;13
          Nivacle;67;37;17;13
          Maka;4;4; -     ; -     
          Manjui;2; -     ;2; -     
     Zamuco;35;24;5;6
          Ayoreo;26;16;4;6
          Ybytoso;8;7;1; -     
          Tomaraho;1;1; -     ; -     
     Guaicuru;13;10;1;2
          Qom;13;10;1;2
     Region Oriental ;471;329;72;70
     Region Occidental ;318;187;74;57
